accessFrom[JDUT1],accessDuration[s],gpi,Observation Range [km],Look angle [deg],Incidence angle [deg],Solar Zenith [deg],Coverage [T/F]
2457769.5321766986,479.9973964691161,0,2367.510636200019,63.35183121730145,82.72762808013597,nan,True
2457769.5321766986,479.9973964691161,1,2360.2913798626114,63.32936530835064,82.63977814616277,nan,True
2457769.5321651245,480.9973910450935,2,2354.3018319217445,63.31047464157192,82.56663246676779,nan,True
2457769.5321651245,480.9973910450935,3,2347.1621191164872,63.28763507530019,82.4791057242181,nan,True
2457769.5321651245,480.9973910450935,4,2340.06062596264,63.26457908783814,82.39169586889474,nan,True
2457769.5321535505,481.99738562107086,5,2332.9906170178724,63.241286554047456,82.30432172312666,nan,True
2457769.5321535505,481.99738562107086,6,2325.9524016704695,63.217759800672354,82.21698838677229,nan,True
2457769.5321535505,481.99738562107086,7,2318.9394049603784,63.193977725376286,82.1296151039515,nan,True
2457769.5321535505,481.99738562107086,8,2311.965746216365,63.16998965731271,82.0423792094786,nan,True
2457769.5321419765,482.99738019704824,9,2306.422446942189,63.15068703059603,81.97279336532496,nan,True
2457769.5321419765,482.99738019704824,10,2299.5408593314514,63.12641044247561,81.8860800436767,nan,True
2457769.5321419765,482.99738019704824,11,2292.6860408275675,63.10189179986714,81.79935412213443,nan,True
2457769.5321419765,482.99738019704824,12,2285.8718080956123,63.07718230130589,81.71279218131221,nan,True
2457769.5321419765,482.99738019704824,13,2279.0917225675216,63.05226095238493,81.62631480496772,nan,True
2457769.5321304025,483.99737477302557,14,2272.3461112747223,63.02713088594647,81.53992810028039,nan,True
2457769.5321304025,483.99737477302557,15,2265.635303407428,63.001795337756754,81.453638302224,nan,True
2457769.5321304025,483.99737477302557,16,2258.9530707127983,62.97623238902101,81.36736691505443,nan,True
2457769.5321304025,483.99737477302557,17,2252.3129009186,62.95049580903066,81.28129026408489,nan,True
2457769.5321304025,483.99737477302557,18,2245.7085352151867,62.924564089076206,81.19533001059061,nan,True
2457769.5321304025,483.99737477302557,19,2239.1403112335856,62.8984408899895,81.10949291322409,nan,True
2457769.5321188285,484.99736934900284,20,2234.3140548798992,62.87904137156705,81.04620892488063,nan,True
2457769.5321188285,484.99736934900284,21,2227.8468176778206,62.852747199021024,80.9610949885376,nan,True
2457769.5321188285,484.99736934900284,22,2221.416865550041,62.826276824848705,80.87613015031002,nan,True
2457769.5321188285,484.99736934900284,23,2215.024543465242,62.79963437588868,80.79132172654685,nan,True
2457769.5321188285,484.99736934900284,24,2208.670198296902,62.772824091928534,80.70667716983817,nan,True
2457769.5321188285,484.99736934900284,25,2202.3479751254063,62.74582367241282,80.62212093214391,nan,True
2457769.5321188285,484.99736934900284,26,2196.07067014633,62.718690740131464,80.53782719652271,nan,True
2457769.5321188285,484.99736934900284,27,2189.8323941533504,62.691403384217665,80.4537205185004,nan,True
2457769.5321188285,484.99736934900284,28,2183.6335013051407,62.66396630585737,80.3698089029454,nan,True
