accessFrom[JDUT1],accessDuration[s],gpi,Observation Range [km],Look angle [deg],Incidence angle [deg],Solar Zenith [deg],Coverage [T/F]
2457769.499804189,64.99964743852615,38,3055.779737460026,64.29317352594394,89.86760534065976,nan,True
2457769.499653727,93.9994901418686,39,3047.5298013873216,64.29270122701676,89.79301915626102,nan,True
2457769.4995379867,116.99936538934708,40,3039.2766587571273,64.29203170803288,89.71820816060993,nan,True
2457769.4994338206,136.99925690889359,41,3031.0177298603767,64.29115598438199,89.64313850608282,nan,True
2457769.4993528025,153.99916470050815,42,3022.7389771729286,64.29006311576869,89.56767146986758,nan,True
2457769.4992833585,167.9990887641907,43,3014.4643746921784,64.28876751836776,89.49203980085967,nan,True
2457769.4992254884,180.99901825189593,44,3006.1840703836547,64.28725905939395,89.41614317850883,nan,True
2457769.4991676183,193.99894773960116,45,2997.8934124432753,64.2855276802944,89.33992808100211,nan,True
2457769.4991097483,205.998882651329,46,2989.589491507568,64.28358371301228,89.26338164141787,nan,True
2457769.4990634522,216.99882298707962,47,2981.288127561454,64.28142179061874,89.18663893800273,nan,True
2457769.499017156,227.9987633228302,48,2972.9780573836238,64.27903004812023,89.10958525046198,nan,True
2457769.49897086,237.99870908260345,49,2964.661485563536,64.27642033130985,89.03225514464522,nan,True
2457769.498924564,247.9986548423767,50,2956.3393863488895,64.27358372209972,88.95464678111058,nan,True
2457769.498889842,256.99860602617264,51,2948.0035891318844,64.27051473302159,88.8766811144042,nan,True
2457769.49885512,265.99855720996857,52,2939.665295596328,64.267207972269,88.79845173237722,nan,True
2457769.498820398,273.99851381778717,53,2931.3227899872204,64.26367426398343,88.7199569268314,nan,True
2457769.498785676,282.99846500158304,54,2922.974876266966,64.25990381529854,88.64117448948306,nan,True
2457769.498750954,290.99842160940165,55,2914.613361171834,64.25589008879051,88.56202410460615,nan,True
2457769.498716232,298.99837821722036,56,2906.2547180164484,64.25163845277905,88.48265901108319,nan,True
2457769.498693084,305.99834024906164,57,2897.879971780663,64.24712966602797,88.40288779588185,nan,True
2457769.498658362,313.99829685688013,58,2889.5067974904864,64.24238431101607,88.32289271859156,nan,True
2457769.498635214,320.9982588887214,59,2881.1283681408127,64.23738928018554,88.24259765755103,nan,True
2457769.498612066,327.99822092056274,60,2872.7284614953037,64.232124576862,88.1618351596353,nan,True
2457769.498588918,334.99818295240397,61,2864.3357561951307,64.2266191677417,88.08089475781642,nan,True
2457769.4985657698,340.99815040826803,62,2855.937892333089,64.22085584279472,87.99964649754982,nan,True
2457769.4985426217,347.99811244010925,63,2847.5300530900304,64.21482133708409,87.91803216347496,nan,True
2457769.4985194737,353.99807989597315,64,2839.1098887441785,64.2085245663833,87.83604233297403,nan,True
2457769.4984963257,359.99804735183716,65,2830.692952247416,64.2019673945664,87.75381702251248,nan,True
2457769.4984731777,366.99800938367844,66,2822.27098790661,64.19514091800032,87.67127293987024,nan,True
2457769.4984500296,372.9979768395424,67,2813.844027802894,64.18804226009664,87.58840731712245,nan,True
2457769.4984268816,378.9979442954064,68,2805.403810558333,64.18066112837344,87.50513539605355,nan,True
2457769.4984153076,383.9979171752929,69,2796.9544576534604,64.17299048914711,87.4214855405662,nan,True
2457769.4983921596,389.99788463115686,70,2788.5090011359616,64.16505343135238,87.33760077197624,nan,True
2457769.4983805856,394.99785751104355,71,2780.058684906913,64.15683207508661,87.25338282180822,nan,True
2457769.4983574376,400.9978249669075,72,2771.603542359071,64.14832335636092,87.16882873442114,nan,True
2457769.4983458635,405.9977978467941,73,2763.1232641440683,64.13949560062713,87.08372250868757,nan,True
2457769.4983227155,411.997765302658,74,2754.6549441663888,64.13039814503088,86.99844982964083,nan,True
2457769.4983111415,416.9977381825447,75,2746.1819051634816,64.12100364876382,86.91283170349669,nan,True
2457769.4982995675,421.9977110624313,76,2737.6967459069756,64.11129314933835,86.82678093232764,nan,True
2457769.4982764195,427.9976785182953,77,2729.202463199872,64.10128033874598,86.74034084136609,nan,True
2457769.4982648455,431.99765682220453,78,2720.711930195904,64.09097013287106,86.65363051998182,nan,True
2457769.4982532714,436.9976297020912,79,2712.2168237911815,64.08034947908523,86.56656182222345,nan,True
2457769.4982416974,440.9976080060005,80,2703.7171796971747,64.06941497979389,86.47913145823071,nan,True
2457769.4982185494,446.99757546186447,81,2695.204670288368,64.05815198026727,86.39124959979713,nan,True
2457769.4982069754,451.9975483417511,82,2686.6831797710875,64.04655418597604,86.3029432464861,nan,True
2457769.4981954014,455.9975266456604,83,2678.16668479393,64.03465161871215,86.21437087464895,nan,True
2457769.4981838274,460.997499525547,84,2669.6458042945033,64.02242090729035,86.12542301718781,nan,True
2457769.4981722534,464.9974778294563,85,2661.1205755904684,64.00985842377523,86.03609615359302,nan,True
2457769.4981606794,468.99745613336563,86,2652.5826491021326,63.99694765386022,85.94629834420473,nan,True
2457769.4981491053,473.9974290132522,87,2644.0348478812557,63.983681027429526,85.85604576797084,nan,True
2457769.4981375313,477.99740731716156,88,2635.493440529314,63.97009466886015,85.7655236722022,nan,True
2457769.4981259573,482.99738019704824,89,2626.9478442339223,63.9561612743631,85.67460778740964,nan,True
2457769.4981143833,486.9973585009575,90,2618.3896882969325,63.94186275233544,85.58320435796381,nan,True
2457769.4981028093,490.99733680486685,91,2609.8358308860415,63.927223255828125,85.49148916992635,nan,True
2457769.4980912353,494.99731510877604,92,2601.2779028401887,63.912224930463076,85.39936872131283,nan,True
2457769.4980912353,498.9972934126854,93,2592.6983773606034,63.89682456723149,85.30664016956344,nan,True
2457769.4980796613,502.9972717165946,94,2584.1291734060587,63.88108962276132,85.21366119283809,nan,True
2457769.4980680873,506.99725002050394,95,2575.5475946350266,63.864967289835114,85.12017274246281,nan,True
2457769.4980565133,510.99722832441336,96,2566.970547430582,63.84848503021774,85.02635442863458,nan,True
2457769.4980449392,514.9972066283225,97,2558.3896413867596,63.83162292687243,84.93211042871656,nan,True
2457769.4980449392,517.9971903562546,98,2549.787964785012,63.81433487735699,84.83724043615288,nan,True
2457769.4980333652,521.9971686601639,99,2541.1878604020735,63.79667521028708,84.74200277372464,nan,True
2457769.498021791,525.9971469640733,100,2532.5924868593243,63.77863944360284,84.64641980468377,nan,True
2457769.498021791,528.9971306920052,101,2523.99343318174,63.760205907582346,84.55039370921459,nan,True
2457769.498010217,532.9971089959146,102,2515.3907432453902,63.74137003525085,84.45392002689069,nan,True
2457769.497998643,536.9970872998238,103,2506.7760042423097,63.72210809655307,84.35689879253631,nan,True
2457769.497998643,539.9970710277556,104,2498.1476351841325,63.702403013006986,84.25929693884534,nan,True
2457769.497987069,540.9970656037331,105,2489.591746829796,63.682480885769266,84.16212331117656,nan,True
