accessFrom[JDUT1],accessDuration[s],gpi,Observation Range [km],Look angle [deg],Incidence angle [deg],Solar Zenith [deg],Coverage [T/F]
2457769.5157184545,338.99816125631327,0,2859.172607045803,64.22310932696064,88.03097662621286,nan,True
2457769.5156953065,344.9981287121773,1,2850.7712675680473,64.21718583206892,87.94953467151298,nan,True
2457769.5156721584,351.9980907440185,2,2842.3588769972807,64.21098850992715,87.8677142189988,nan,True
2457769.5156490104,357.9980581998825,3,2833.9352816738638,64.20452784767467,87.7855271555414,nan,True
2457769.5156258624,363.9980256557465,4,2825.514936480509,64.19780518171652,87.70310310308548,nan,True
2457769.5156027144,370.99798768758774,5,2817.0895835530027,64.19081142692957,87.62035856458515,nan,True
2457769.5155795664,376.99795514345163,6,2808.659255128753,64.18354368458441,87.53729074994828,nan,True
2457769.5155679923,381.9979280233383,7,2800.205875466566,64.17597549710977,87.45370901340925,nan,True
2457769.5155448443,387.9978954792023,8,2791.7619923320813,64.16814684248183,87.36994874077101,nan,True
2457769.5155332703,392.9978683590889,9,2783.313237137481,64.16003503938902,87.28585639841344,nan,True
2457769.5155101223,398.9978358149529,10,2774.8596431697956,64.15163703830143,87.20142904513183,nan,True
2457769.5154985483,403.9978086948394,11,2766.3835740781697,64.14292423344283,87.11647779510253,nan,True
2457769.5154754003,409.9977761507034,12,2757.9167801718772,64.13394001357386,87.03133431931948,nan,True
2457769.5154638262,414.99774903059006,13,2749.445254490694,64.12465996430572,86.94584656987928,nan,True
2457769.515440678,420.997716486454,14,2740.969031438388,64.11508087555326,86.86001144471696,nan,True
2457769.515429104,424.99769479036325,15,2732.4881457095166,64.10519949629374,86.7738258008166,nan,True
2457769.51541753,429.99766767024994,16,2723.98240618556,64.09498077087714,86.68707124977094,nan,True
2457769.515394382,435.99763512611383,17,2715.4887637147513,64.08447971753883,86.60013795882975,nan,True
2457769.515382808,439.9976134300232,18,2706.9905702599067,64.07366611175425,86.51284425720468,nan,True
2457769.515371234,444.99758630990976,19,2698.4878617229683,64.06253652872752,86.42518682780367,nan,True
2457769.51535966,449.99755918979645,20,2689.962083432144,64.05105497185542,86.33696100353701,nan,True
2457769.515348086,453.99753749370575,21,2681.447001211767,64.0392774351571,86.24852934691701,nan,True
2457769.515336512,458.9975103735924,22,2672.9275197127613,64.02717311817308,86.15972353139543,nan,True
2457769.515324938,462.99748867750174,23,2664.4036761250068,64.0147384108413,86.0705400543245,nan,True
2457769.515313364,466.9974669814109,24,2655.8755079725133,64.00196965573555,85.98097536567542,nan,True
2457769.51530179,471.99743986129755,25,2647.3233185633035,63.98882523071362,85.89080879631572,nan,True
2457769.515290216,475.9974181652069,26,2638.7832566295856,63.975371067321966,85.80043442352861,nan,True
2457769.515278642,480.9973910450935,27,2630.2389913674556,63.96157132659288,85.70966768352602,nan,True
2457769.515267068,484.99736934900284,28,2621.6905616983368,63.947422150231034,85.6185048251365,nan,True
2457769.515255494,488.997347652912,29,2613.1295950496556,63.93290519996444,85.52685182133463,nan,True
2457769.51524392,492.9973259568214,30,2604.5729540283096,63.91804502329105,85.43488490198578,nan,True
2457769.515232346,497.9972988367081,31,2595.9973359663145,63.90278936798213,85.34234016011723,nan,True
2457769.515220772,501.9972771406173,32,2587.4293917804234,63.887195841557514,85.24951793845476,nan,True
2457769.515220772,504.99726086854923,33,2578.8490561911353,63.87121664583827,85.15618791762435,nan,True
2457769.515209198,508.9972391724586,34,2570.2732381532114,63.85487899239894,85.06252947415031,nan,True
2457769.515197624,512.997217476368,35,2561.6935457535005,63.83816312118599,84.96844693414863,nan,True
2457769.51518605,516.9971957802773,36,2553.1100209912506,63.82106473390948,84.87393610610522,nan,True
2457769.51518605,519.9971795082092,37,2544.5052263927437,63.80353612903341,84.77879032499932,nan,True
2457769.515174476,523.9971578121184,38,2535.90256532755,63.78563439043425,84.68328025151442,nan,True
2457769.515162902,528.9971306920052,39,2527.30466443946,63.767354002943335,84.5874224181637,nan,True
2457769.515162902,531.9971144199371,40,2518.6932969964305,63.74864408280271,84.4909998123279,nan,True
2457769.515151328,535.9970927238463,41,2510.0850852689164,63.729550599782186,84.39421087500601,nan,True
2457769.515139754,538.9970764517784,42,2501.4807643789377,63.710071447021114,84.29705986459429,nan,True
2457769.515139754,539.9970710277556,43,2492.868519525907,63.690160392659045,84.19939084049679,nan,True
2457769.51512818,540.9970656037331,44,2484.348883366605,63.67007383954846,84.10237193183184,nan,True
2457769.51512818,540.9970656037331,45,2475.8133126776324,63.649534465619695,84.00474140269732,nan,True
2457769.515116606,541.9970601797104,46,2467.289925870783,63.628612727809184,83.90682475399835,nan,True
2457769.515105032,542.9970547556876,47,2458.9322625127234,63.607701608616615,83.81040348590807,nan,True
2457769.515105032,542.9970547556876,48,2450.4801974923184,63.58613562318327,83.71245899373986,nan,True
2457769.515093458,543.997049331665,49,2442.0495611990195,63.56420812041937,83.61433226443748,nan,True
2457769.515093458,543.997049331665,50,2433.640602928159,63.54191843473916,83.51602470392076,nan,True
2457769.515081884,544.9970439076424,51,2425.4848147225416,63.51990393268671,83.42026821762687,nan,True
2457769.515081884,544.9970439076424,52,2417.1416825097504,63.496960129323945,83.3218723516707,nan,True
2457769.51507031,545.9970384836197,53,2408.8211319634406,63.4736551719434,83.22330440627815,nan,True
2457769.51507031,545.9970384836197,54,2400.523424144718,63.44998866206341,83.12456617229692,nan,True
2457769.51507031,545.9970384836197,55,2392.240682089369,63.425936408659446,83.02556200035794,nan,True
2457769.515058736,546.9970330595969,56,2384.3570039028905,63.40264903499927,82.93092056402732,nan,True
2457769.515058736,546.9970330595969,57,2376.151900265756,63.377983243335336,82.83197450643041,nan,True
2457769.515047162,547.9970276355743,58,2367.97085462618,63.35295789719308,82.7328705900883,nan,True
2457769.515047162,547.9970276355743,59,2359.8141430056203,63.32757296891797,82.63361112828846,nan,True
2457769.515047162,547.9970276355743,60,2351.6740446485155,63.301802959752536,82.53410051573493,nan,True
2457769.515035588,548.9970222115517,61,2344.0666180110634,63.277328713311114,82.44069731870309,nan,True
2457769.515035588,548.9970222115517,62,2336.0078595253017,63.25096924377861,82.34130168546866,nan,True
2457769.515035588,548.9970222115517,63,2327.9747141310977,63.22425406277314,82.24176547345098,nan,True
2457769.515024014,549.9970167875289,64,2319.959597196341,63.19715672668816,82.14199331641642,nan,True
2457769.515024014,549.9970167875289,65,2311.9785811622514,63.16973106098694,82.04218463312135,nan,True
2457769.515024014,549.9970167875289,66,2304.024061759276,63.14195113820876,81.94224441986564,nan,True
2457769.51501244,550.9970113635063,67,2296.756594890495,63.11618618094613,81.85053766767629,nan,True
2457769.51501244,550.9970113635063,68,2288.8724092339658,63.08779713323626,81.75059229808006,nan,True
2457769.51501244,550.9970113635063,69,2281.0235528924795,63.05908743610201,81.6506289058521,nan,True
2457769.51501244,550.9970113635063,70,2273.2025625586466,63.030030308122406,81.55055286382091,nan,True
2457769.515000866,551.9970059394836,71,2265.4097515132107,63.00062683497403,81.45036798730689,nan,True
2457769.515000866,551.9970059394836,72,2257.6454361412025,62.97087820195609,81.35007822402517,nan,True
2457769.515000866,551.9970059394836,73,2249.902329077831,62.94075587968864,81.24958870166637,nan,True
2457769.515000866,551.9970059394836,74,2242.1959955606844,62.910320557655254,81.14910145893906,nan,True
2457769.515000866,551.9970059394836,75,2234.519125954848,62.87954425708343,81.04852200020093,nan,True
2457769.514989292,552.997000515461,76,2227.7747198532034,62.85213417134504,80.95977282255733,nan,True
2457769.514989292,552.997000515461,77,2220.1758919730446,62.82081084758451,80.8593198059921,nan,True
2457769.514989292,552.997000515461,78,2212.615170024331,62.78918651884787,80.75889304615453,nan,True
2457769.514989292,552.997000515461,79,2205.0853986078027,62.757232536958504,80.6583987324561,nan,True
2457769.514989292,552.997000515461,80,2197.586919619862,62.72495104116091,80.55784204401051,nan,True
2457769.514989292,552.997000515461,81,2190.112737348356,62.69231201041818,80.45712916578296,nan,True
2457769.514977718,553.9969950914384,82,2182.6779132809497,62.659382087275155,80.35646385621875,nan,True
2457769.514977718,553.9969950914384,83,2175.2754267221203,62.626131826985926,80.25575268106245,nan,True
2457769.514977718,553.9969950914384,84,2167.905632278342,62.592563882715275,80.15500147382812,nan,True
2457769.514977718,553.9969950914384,85,2160.56888773852,62.558681043221576,80.05421623921018,nan,True
2457769.514977718,553.9969950914384,86,2153.2583752654095,62.52445239344585,79.95330382125113,nan,True
2457769.514977718,553.9969950914384,87,2145.988850083925,62.489948383828654,79.852469227981,nan,True
