Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km]
0.0,False,14156.273858437258
1.0,False,14156.273858437258
2.0,False,14156.273858437256
3.0,False,14156.273858437258
4.0,False,14156.273858437256
5.0,False,14156.273858437256
6.0,False,14156.273858437256
7.0,False,14156.273858437255
8.0,False,14156.273858437255
9.0,False,14156.27385843726
10.0,False,14156.273858437256
11.0,False,14156.273858437256
12.0,False,14156.273858437255
13.0,False,14156.273858437256
14.0,False,14156.273858437256
15.0,False,14156.273858437251
16.0,False,14156.273858437255
17.0,False,14156.273858437253
18.0,False,14156.273858437251
19.0,False,14156.273858437247
20.0,False,14156.27385843725
21.0,False,14156.273858437246
22.0,False,14156.273858437244
23.0,False,14156.273858437242
24.0,False,14156.273858437242
25.0,False,14156.273858437236
26.0,False,14156.273858437233
27.0,False,14156.273858437227
28.0,False,14156.273858437224
29.0,False,14156.27385843722
30.0,False,14156.273858437215
31.0,False,14156.273858437211
32.0,False,14156.273858437202
33.0,False,14156.273858437196
34.0,False,14156.27385843719
35.0,False,14156.273858437184
36.0,False,14156.273858437173
37.0,False,14156.273858437165
38.0,False,14156.273858437155
39.0,False,14156.273858437144
40.0,False,14156.27385843713
41.0,False,14156.273858437116
42.0,False,14156.273858437104
43.0,False,14156.273858437093
44.0,False,14156.273858437075
45.0,False,14156.273858437056
46.0,False,14156.273858437038
47.0,False,14156.27385843702
48.0,False,14156.273858437
49.0,False,14156.273858436978
50.0,False,14156.273858436954
51.0,False,14156.273858436929
52.0,False,14156.273858436904
53.0,False,14156.27385843688
54.0,False,14156.273858436847
55.0,False,14156.273858436816
56.0,False,14156.273858436785
57.0,False,14156.273858436749
58.0,False,14156.273858436714
59.0,False,14156.27385843668
60.0,False,14156.27385843664
61.0,False,14156.273858436592
62.0,False,14156.273858436552
63.0,False,14156.273858436505
64.0,False,14156.27385843646
65.0,False,14156.273858436407
66.0,False,14156.27385843636
67.0,False,14156.273858436303
68.0,False,14156.273858436245
69.0,False,14156.273858436183
70.0,False,14156.273858436121
71.0,False,14156.273858436056
72.0,False,14156.27385843599
73.0,False,14156.273858435918
74.0,False,14156.273858435841
75.0,False,14156.273858435767
76.0,False,14156.273858435688
77.0,False,14156.273858435601
78.0,False,14156.273858435512
79.0,False,14156.27385843543
80.0,False,14156.273858435336
81.0,False,14156.27385843524
82.0,False,14156.273858435141
83.0,False,14156.273858435035
84.0,False,14156.273858434926
85.0,False,14156.273858434812
86.0,False,14156.2738584347
87.0,False,14156.27385843458
88.0,False,14156.273858434455
89.0,False,14156.273858434328
90.0,False,14156.273858434197
91.0,False,14156.273858434059
92.0,False,14156.273858433917
93.0,False,14156.273858433773
94.0,False,14156.273858433622
95.0,False,14156.273858433467
96.0,False,14156.273858433304
97.0,False,14156.27385843314
98.0,False,14156.273858432969
99.0,False,14156.273858432794
100.0,False,14156.273858432614
101.0,False,14156.273858432427
102.0,False,14156.273858432234
103.0,False,14156.273858432038
104.0,False,14156.273858431836
105.0,False,14156.273858431623
106.0,False,14156.273858431412
107.0,False,14156.273858431188
108.0,False,14156.27385843096
109.0,False,14156.273858430726
110.0,False,14156.273858430484
111.0,False,14156.273858430239
112.0,False,14156.273858429984
113.0,False,14156.273858429726
114.0,False,14156.27385842946
115.0,False,14156.27385842918
116.0,False,14156.2738584289
117.0,False,14156.273858428613
118.0,False,14156.273858428314
119.0,False,14156.273858428014
120.0,False,14156.2738584277
121.0,False,14156.27385842738
122.0,False,14156.273858427054
123.0,False,14156.273858426717
124.0,False,14156.273858426373
125.0,False,14156.273858426022
126.0,False,14156.273858425664
127.0,False,14156.273858425291
128.0,False,14156.273858424916
129.0,False,14156.273858424527
130.0,False,14156.273858424132
131.0,False,14156.27385842373
132.0,False,14156.273858423314
133.0,False,14156.273858422886
134.0,False,14156.273858422459
135.0,False,14156.273858422013
136.0,False,14156.273858421564
137.0,False,14156.2738584211
138.0,False,14156.273858420627
139.0,False,14156.273858420147
140.0,False,14156.27385841965
141.0,False,14156.273858419148
142.0,False,14156.273858418634
143.0,False,14156.273858418106
144.0,False,14156.273858417571
145.0,False,14156.273858417026
146.0,False,14156.273858416467
147.0,False,14156.273858415896
148.0,False,14156.273858415312
149.0,False,14156.273858414717
150.0,False,14156.273858414113
151.0,False,14156.273858413497
152.0,False,14156.273858412867
153.0,False,14156.273858412223
154.0,False,14156.273858411569
155.0,False,14156.273858410901
156.0,False,14156.273858410219
157.0,False,14156.273858409528
158.0,False,14156.273858408817
159.0,False,14156.273858408098
160.0,False,14156.273858407365
161.0,False,14156.273858406616
162.0,False,14156.273858405857
163.0,False,14156.27385840508
164.0,False,14156.273858404289
165.0,False,14156.273858403483
166.0,False,14156.273858402665
167.0,False,14156.273858401835
168.0,False,14156.273858400982
169.0,False,14156.273858400118
170.0,False,14156.273858399241
171.0,False,14156.273858398346
172.0,False,14156.273858397437
173.0,False,14156.273858396511
174.0,False,14156.273858395565
175.0,False,14156.273858394608
176.0,False,14156.273858393633
177.0,False,14156.27385839264
178.0,False,14156.273858391633
179.0,False,14156.27385839061
180.0,False,14156.27385838957
181.0,False,14156.273858388508
182.0,False,14156.273858387434
183.0,False,14156.273858386336
184.0,False,14156.273858385228
185.0,False,14156.273858384093
186.0,False,14156.273858382945
187.0,False,14156.273858381775
188.0,False,14156.273858380591
189.0,False,14156.273858379387
190.0,False,14156.273858378167
191.0,False,14156.273858376922
192.0,False,14156.27385837566
193.0,False,14156.273858374378
194.0,False,14156.273858373075
195.0,False,14156.273858371751
196.0,False,14156.273858370407
197.0,False,14156.273858369048
198.0,False,14156.273858367664
199.0,False,14156.273858366261
200.0,False,14156.273858364837
201.0,False,14156.273858363389
202.0,False,14156.27385836192
203.0,False,14156.273858360431
204.0,False,14156.27385835892
205.0,False,14156.273858357388
206.0,False,14156.273858355831
207.0,False,14156.273858354252
208.0,False,14156.273858352652
