Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km]
0.0,False,10009.497334630827
1.0,False,10009.497864368384
2.0,False,10009.498393542151
3.0,False,10009.498922151555
4.0,False,10009.499450195994
5.0,False,10009.499977674866
6.0,False,10009.500504587588
7.0,False,10009.501030933567
8.0,False,10009.501556712214
9.0,False,10009.502081922928
10.0,False,10009.50260656513
11.0,False,10009.503130638223
12.0,False,10009.50365414162
13.0,False,10009.504177074725
14.0,False,10009.504699436971
15.0,False,10009.50522122774
16.0,False,10009.505742446481
17.0,False,10009.506263092573
18.0,False,10009.50678316546
19.0,False,10009.507302664546
20.0,False,10009.50782158924
21.0,False,10009.50833993896
22.0,False,10009.508857713134
23.0,False,10009.509374911164
24.0,False,10009.509891532496
25.0,False,10009.510407576523
26.0,False,10009.510923042668
27.0,False,10009.511437930367
28.0,False,10009.511952239029
29.0,False,10009.512465968071
30.0,False,10009.51297911693
31.0,False,10009.51349168502
32.0,False,10009.514003671764
33.0,False,10009.514515076591
34.0,False,10009.515025898927
35.0,False,10009.515536138197
36.0,False,10009.516045793824
37.0,False,10009.51655486523
38.0,False,10009.51706335185
39.0,False,10009.517571253116
40.0,False,10009.518078568448
41.0,False,10009.518585297292
42.0,False,10009.51909143906
43.0,False,10009.519596993186
44.0,False,10009.520101959117
45.0,False,10009.520606336262
46.0,False,10009.521110124075
47.0,False,10009.52161332198
48.0,False,10009.522115929407
49.0,False,10009.522617945793
50.0,False,10009.523119370584
51.0,False,10009.523620203203
52.0,False,10009.5241204431
53.0,False,10009.524620089707
54.0,False,10009.525119142454
55.0,False,10009.525617600792
56.0,False,10009.526115464154
57.0,False,10009.526612731985
58.0,False,10009.527109403718
59.0,False,10009.527605478801
60.0,False,10009.528100956686
61.0,False,10009.528595836788
62.0,False,10009.52909011858
63.0,False,10009.529583801486
64.0,False,10009.53007688497
65.0,False,10009.53056936846
66.0,False,10009.531061251417
67.0,False,10009.531552533272
68.0,False,10009.532043213481
69.0,False,10009.532533291494
70.0,False,10009.533022766765
71.0,False,10009.533511638732
72.0,False,10009.533999906851
73.0,False,10009.534487570576
74.0,False,10009.53497462935
75.0,False,10009.53546108264
76.0,False,10009.535946929878
77.0,False,10009.536432170546
78.0,False,10009.536916804074
79.0,False,10009.537400829939
80.0,False,10009.537884247567
81.0,False,10009.538367056437
82.0,False,10009.538849256009
83.0,False,10009.539330845724
84.0,False,10009.539811825054
85.0,False,10009.540292193438
86.0,False,10009.540771950382
87.0,False,10009.541251095297
88.0,False,10009.541729627672
89.0,False,10009.542207546952
