Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km]
0.0,False,10009.496273466786
1.0,False,10009.495742041481
2.0,False,10009.495210054789
3.0,False,10009.494677507302
4.0,False,10009.494144399618
5.0,False,10009.493610732343
6.0,False,10009.493076506073
7.0,False,10009.49254172141
8.0,False,10009.492006378949
9.0,False,10009.491470479305
10.0,False,10009.490934023064
11.0,False,10009.490397010837
12.0,False,10009.48985944323
13.0,False,10009.489321320845
14.0,False,10009.488782644283
15.0,False,10009.488243414156
16.0,False,10009.48770363107
17.0,False,10009.48716329563
18.0,False,10009.486622408436
19.0,False,10009.486080970106
20.0,False,10009.485538981247
21.0,False,10009.484996442461
22.0,False,10009.484453354367
23.0,False,10009.483909717577
24.0,False,10009.48336553269
25.0,False,10009.48282080033
26.0,False,10009.482275521099
27.0,False,10009.481729695613
28.0,False,10009.481183324491
29.0,False,10009.480636408349
30.0,False,10009.48008894779
31.0,False,10009.479540943434
32.0,False,10009.478992395902
33.0,False,10009.478443305807
34.0,False,10009.477893673764
35.0,False,10009.477343500397
36.0,False,10009.476792786325
37.0,False,10009.476241532155
38.0,False,10009.475689738521
39.0,False,10009.475137406034
40.0,False,10009.474584535319
41.0,False,10009.474031126994
42.0,False,10009.473477181684
43.0,False,10009.472922700013
44.0,False,10009.472367682602
45.0,False,10009.471812130076
46.0,False,10009.471256043056
47.0,False,10009.470699422172
48.0,False,10009.470142268048
49.0,False,10009.46958458131
50.0,False,10009.469026362578
51.0,False,10009.468467612494
52.0,False,10009.467908331677
53.0,False,10009.467348520759
54.0,False,10009.46678818036
55.0,False,10009.466227311123
56.0,False,10009.465665913673
57.0,False,10009.465103988636
58.0,False,10009.46454153665
59.0,False,10009.46397855835
60.0,False,10009.463415054359
61.0,False,10009.462851025317
62.0,False,10009.46228647186
63.0,False,10009.461721394619
64.0,False,10009.461155794224
65.0,False,10009.460589671322
66.0,False,10009.460023026548
67.0,False,10009.459455860524
68.0,False,10009.458888173907
69.0,False,10009.458319967323
70.0,False,10009.457751241413
71.0,False,10009.457181996817
72.0,False,10009.456612234178
73.0,False,10009.456041954132
74.0,False,10009.455471157326
75.0,False,10009.454899844395
76.0,False,10009.454328015987
77.0,False,10009.45375567273
78.0,False,10009.45318281529
79.0,False,10009.452609444299
80.0,False,10009.452035560396
81.0,False,10009.451461164237
82.0,False,10009.450886256463
83.0,False,10009.450310837718
84.0,False,10009.449734908652
85.0,False,10009.449158469915
86.0,False,10009.448581522154
87.0,False,10009.448004066006
88.0,False,10009.447426102135
89.0,False,10009.446847631185
90.0,False,10009.446268653799
91.0,False,10009.44568917064
92.0,False,10009.445109182358
93.0,False,10009.444528689593
94.0,False,10009.443947693015
95.0,False,10009.443366193264
96.0,False,10009.442784190995
97.0,False,10009.442201686865
98.0,False,10009.441618681534
99.0,False,10009.44103517565
100.0,False,10009.440451169867
101.0,False,10009.439866664847
102.0,False,10009.439281661247
103.0,False,10009.438696159717
104.0,False,10009.43811016093
105.0,False,10009.437523665532
106.0,False,10009.436936674183
107.0,False,10009.436349187547
108.0,False,10009.435761206287
109.0,False,10009.43517273106
110.0,False,10009.434583762522
111.0,False,10009.433994301347
112.0,False,10009.433404348189
113.0,False,10009.432813903712
114.0,False,10009.432222968582
115.0,False,10009.43163154346
116.0,False,10009.431039629017
117.0,False,10009.430447225914
118.0,False,10009.42985433482
119.0,False,10009.42926095639
120.0,False,10009.428667091308
