Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km]
0.0,False,10010.497273710693
1.0,False,10010.496743919912
2.0,False,10010.496214692794
3.0,False,10010.495686029939
4.0,False,10010.495157931935
5.0,False,10010.494630399378
6.0,False,10010.494103432859
7.0,False,10010.49357703297
8.0,False,10010.49305120031
9.0,False,10010.492525935453
10.0,False,10010.492001239005
11.0,False,10010.491477111547
12.0,False,10010.490953553677
13.0,False,10010.490430565977
14.0,False,10010.489908149033
15.0,False,10010.489386303436
16.0,False,10010.488865029769
17.0,False,10010.488344328623
18.0,False,10010.487824200576
19.0,False,10010.48730464622
20.0,False,10010.486785666131
21.0,False,10010.486267260902
22.0,False,10010.485749431104
23.0,False,10010.485232177332
24.0,False,10010.484715500157
25.0,False,10010.484199400164
26.0,False,10010.483683877927
27.0,False,10010.483168934028
28.0,False,10010.482654569058
29.0,False,10010.482140783584
30.0,False,10010.481627578176
31.0,False,10010.481114953425
32.0,False,10010.480602909898
33.0,False,10010.480091448171
34.0,False,10010.47958056883
35.0,False,10010.479070272431
36.0,False,10010.47856055956
37.0,False,10010.478051430786
38.0,False,10010.47754288668
39.0,False,10010.477034927822
40.0,False,10010.476527554767
41.0,False,10010.476020768107
42.0,False,10010.47551456839
43.0,False,10010.475008956191
44.0,False,10010.474503932086
45.0,False,10010.473999496635
46.0,False,10010.473495650403
47.0,False,10010.472992393967
48.0,False,10010.472489727883
49.0,False,10010.471987652716
50.0,False,10010.471486169037
51.0,False,10010.470985277405
52.0,False,10010.470484978381
53.0,False,10010.469985272533
54.0,False,10010.469486160418
55.0,False,10010.468987642596
56.0,False,10010.46848971963
57.0,False,10010.46799239208
58.0,False,10010.467495660498
59.0,False,10010.466999525454
60.0,False,10010.466503987496
61.0,False,10010.466009047186
62.0,False,10010.465514705076
63.0,False,10010.465020961723
64.0,False,10010.464527817687
65.0,False,10010.464035273519
66.0,False,10010.463543329768
67.0,False,10010.463051986995
68.0,False,10010.462561245742
69.0,False,10010.462071106565
70.0,False,10010.461581570018
71.0,False,10010.461092636648
72.0,False,10010.460604307005
