Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km]
0.0,False,14156.273999999838
1.0,False,14156.273999999357
2.0,False,14156.273999998564
3.0,False,14156.273999997451
4.0,False,14156.273999996018
5.0,False,14156.273999994268
6.0,False,14156.273999992198
7.0,False,14156.273999989815
8.0,False,14156.273999987106
9.0,False,14156.273999984083
10.0,False,14156.273999980749
11.0,False,14156.273999977086
12.0,False,14156.27399997311
13.0,False,14156.273999968813
14.0,False,14156.2739999642
15.0,False,14156.273999959267
16.0,False,14156.273999954017
17.0,False,14156.27399994845
18.0,False,14156.273999942565
19.0,False,14156.273999936364
20.0,False,14156.27399992984
21.0,False,14156.273999922998
22.0,False,14156.273999915844
23.0,False,14156.27399990837
24.0,False,14156.273999900579
25.0,False,14156.273999892468
26.0,False,14156.27399988404
27.0,False,14156.273999875293
28.0,False,14156.273999866227
29.0,False,14156.27399985685
30.0,False,14156.273999847152
31.0,False,14156.273999837133
32.0,False,14156.2739998268
33.0,False,14156.273999816143
34.0,False,14156.27399980518
35.0,False,14156.273999793892
36.0,False,14156.27399978229
37.0,False,14156.273999770368
38.0,False,14156.273999758134
39.0,False,14156.273999745576
40.0,False,14156.273999732703
41.0,False,14156.273999719517
42.0,False,14156.27399970601
43.0,False,14156.273999692188
44.0,False,14156.273999678047
45.0,False,14156.273999663594
46.0,False,14156.273999648818
47.0,False,14156.27399963373
48.0,False,14156.273999618326
49.0,False,14156.273999602603
50.0,False,14156.27399958656
51.0,False,14156.273999570207
52.0,False,14156.273999553534
53.0,False,14156.273999536546
54.0,False,14156.273999519242
55.0,False,14156.273999501622
56.0,False,14156.273999483685
57.0,False,14156.273999465438
58.0,False,14156.273999446863
59.0,False,14156.273999427982
60.0,False,14156.273999408782
61.0,False,14156.273999389268
62.0,False,14156.27399936944
63.0,False,14156.27399934929
64.0,False,14156.27399932883
65.0,False,14156.273999308054
66.0,False,14156.273999286967
67.0,False,14156.27399926556
68.0,False,14156.27399924384
69.0,False,14156.273999221803
70.0,False,14156.27399919945
71.0,False,14156.273999176785
72.0,False,14156.273999153804
73.0,False,14156.273999130515
74.0,False,14156.273999106905
75.0,False,14156.273999082978
76.0,False,14156.273999058745
77.0,False,14156.27399903419
78.0,False,14156.273999009329
79.0,False,14156.27399898415
80.0,False,14156.273998958659
81.0,False,14156.273998932851
82.0,False,14156.273998906734
83.0,False,14156.2739988803
84.0,False,14156.273998853556
85.0,False,14156.273998826497
86.0,False,14156.273998799124
87.0,False,14156.273998771441
88.0,False,14156.273998743445
89.0,False,14156.273998715134
90.0,False,14156.273998686513
91.0,False,14156.273998657576
92.0,False,14156.27399862833
