Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km],Elevation[deg]
0.0,False,9825.592037716777,-44.04185165595408
1.0,False,9821.173794142098,-44.011560375470125
2.0,False,9816.75326103432,-43.98126644374044
3.0,False,9812.330440136673,-43.95096986125027
4.0,False,9807.905335807804,-43.920670646365295
5.0,False,9803.477944569093,-43.89036876376893
6.0,False,9799.048270781284,-43.86006423180177
7.0,False,9794.61631619505,-43.829757050905364
8.0,False,9790.182082562915,-43.79944722151049
9.0,False,9785.745571639292,-43.76913474403699
10.0,False,9781.306785180424,-43.738819618893714
11.0,False,9776.865724944475,-43.70850184647896
12.0,False,9772.42239531803,-43.678181445099305
13.0,False,9767.976792811502,-43.647858379296245
14.0,False,9763.528921813628,-43.617532667351384
15.0,False,9759.078784090112,-43.58720430961985
16.0,False,9754.626381408505,-43.55687330644567
17.0,False,9750.171715538294,-43.526539658162456
18.0,False,9745.714788250858,-43.49620336509294
19.0,False,9741.25560395732,-43.465864445492485
20.0,False,9736.79415915876,-43.435522863779184
21.0,False,9732.330458268545,-43.405178638183756
22.0,False,9727.864503065613,-43.37483176898567
23.0,False,9723.396295330907,-43.34448225645437
24.0,False,9718.925836847255,-43.31413010084839
25.0,False,9714.45312939942,-43.28377530241571
26.0,False,9709.978177423152,-43.25341787936068
27.0,False,9705.500977410486,-43.2230577959789
28.0,False,9701.021533799416,-43.19269507045008
29.0,False,9696.539848382421,-43.16232970297959
30.0,False,9692.055922953907,-43.131961693762165
31.0,False,9687.569759310223,-43.10159104298204
32.0,False,9683.08135924963,-43.07121775081257
33.0,False,9678.59072457237,-43.04084181741686
34.0,False,9674.097859742575,-43.01046326094214
35.0,False,9669.60276124208,-42.98008204554388
36.0,False,9665.105433537325,-42.949698189344836
37.0,False,9660.605878436369,-42.91931169246589
38.0,False,9656.1040977492,-42.88892255501701
39.0,False,9651.600093287807,-42.858530777098025
40.0,False,9647.093866866142,-42.82813635879813
41.0,False,9642.585422973278,-42.797739318215186
42.0,False,9638.074758082406,-42.76733961938241
43.0,False,9633.561876684971,-42.73693728037339
44.0,False,9629.046780602808,-42.70653230123516
45.0,False,9624.529471659776,-42.67612468200457
