Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km],Elevation[deg]
0.0,False,9385.966634408525,-41.076991243110406
1.0,False,9382.706541209958,-41.0555518492795
2.0,False,9379.445475493038,-41.034111631524816
3.0,False,9376.183440143657,-41.01267060386476
4.0,False,9372.920433701573,-40.991228751742156
5.0,False,9369.656467757524,-40.9697861463368
6.0,False,9366.391540860077,-40.94834277310227
7.0,False,9363.125655909316,-40.926898646070626
8.0,False,9359.858815808906,-40.905453779277586
9.0,False,9356.591023466051,-40.88400818676247
10.0,False,9353.322281791594,-40.862561882568585
11.0,False,9350.052593699877,-40.841114880742595
12.0,False,9346.78195774543,-40.81966716672476
13.0,False,9343.51038557491,-40.798218811786214
14.0,False,9340.237875751713,-40.77676980137875
15.0,False,9336.964431204513,-40.75532014956444
16.0,False,9333.69005486566,-40.73386987040987
17.0,False,9330.414749671017,-40.7124189779851
18.0,False,9327.13851856009,-40.69096748636456
19.0,False,9323.861360100798,-40.66951538099048
20.0,False,9320.583285988569,-40.64806273321461
21.0,False,9317.304294800178,-40.62660952849109
22.0,False,9314.024389489687,-40.60515578091189
23.0,False,9310.743573014628,-40.58370150457248
24.0,False,9307.461848336237,-40.56224671357317
25.0,False,9304.179218419336,-40.540791422018486
26.0,False,9300.895681845679,-40.51933561535651
27.0,False,9297.611250359314,-40.49787936502039
28.0,False,9294.325922550925,-40.476422656471016
29.0,False,9291.03970139995,-40.45496550383156
30.0,False,9287.752589889495,-40.43350792123014
31.0,False,9284.464591006317,-40.41204992279956
32.0,False,9281.1757077409,-40.39059152267791
33.0,False,9277.885943087336,-40.36913273500788
34.0,False,9274.595295643501,-40.34767354524729
35.0,False,9271.303777209101,-40.32621402492548
36.0,False,9268.01138639101,-40.304754159513934
37.0,False,9264.71812619806,-40.28329396317565
38.0,False,9261.423999642855,-40.261833450079365
39.0,False,9258.129009741628,-40.24037263439864
40.0,False,9254.833159514352,-40.218911530312546
41.0,False,9251.536447573428,-40.19745012329147
42.0,False,9248.238885767192,-40.17598848495002
43.0,False,9244.940472717077,-40.15452660077289
44.0,False,9241.641211457958,-40.13306448496141
45.0,False,9238.3411050284,-40.111602151721996
46.0,False,9235.040156470699,-40.09013961526712
47.0,False,9231.738368830878,-40.068676889814654
48.0,False,9228.435745158784,-40.047213989588826
49.0,False,9225.13228408392,-40.0257509000788
50.0,False,9221.82799751002,-40.00428769299796
51.0,False,9218.522884075717,-39.9828243538507
52.0,False,9215.216946845827,-39.96136089688481
53.0,False,9211.91018888892,-39.939897336353894
54.0,False,9208.602613277404,-39.91843368651825
55.0,False,9205.294223087394,-39.89696996164385
56.0,False,9201.985016963803,-39.87550614724022
57.0,False,9198.67500685881,-39.85404231510879
58.0,False,9195.364191426463,-39.83257845077501
59.0,False,9192.052573758045,-39.81111456853017
60.0,False,9188.740156948714,-39.789650682672736
61.0,False,9185.426944097331,-39.76818680750703
62.0,False,9182.112938306664,-39.74672295734458
63.0,False,9178.798142683216,-39.72525914650299
64.0,False,9175.48255589003,-39.70379536051958
65.0,False,9172.16618993445,-39.682331671297675
66.0,False,9168.849043488717,-39.66086806439132
67.0,False,9165.531119674662,-39.639404554145564
68.0,False,9162.212421617995,-39.61794115491246
69.0,False,9158.892952448237,-39.59647788105114
70.0,False,9155.572715298837,-39.57501474692809
71.0,False,9152.251708848962,-39.553551738107664
72.0,False,9148.929945154343,-39.53208892658524
73.0,False,9145.607422903417,-39.51062629794275
74.0,False,9142.284145245032,-39.48916386657534
75.0,False,9138.960115331902,-39.46770164688537
76.0,False,9135.635336320682,-39.44623965328309
77.0,False,9132.30981137185,-39.42477790018582
78.0,False,9128.98353918121,-39.40331637318934
79.0,False,9125.65653185272,-39.38185514438179
80.0,False,9122.32878809147,-39.36039419937709
81.0,False,9119.000311073505,-39.338933552622954
82.0,False,9115.671103978922,-39.317473218575714
83.0,False,9112.341169991589,-39.29601321169875
84.0,False,9109.010512299317,-39.27455354646338
85.0,False,9105.679134093914,-39.25309423734942
86.0,False,9102.347034090682,-39.231635269992815
87.0,False,9099.01422444851,-39.21017671658908
88.0,False,9095.680703892096,-39.188718562793575
89.0,False,9092.346475628936,-39.16726082311807
90.0,False,9089.011542870474,-39.145803512082686
91.0,False,9085.675908832176,-39.12434664421615
92.0,False,9082.339576733395,-39.102890234055174
93.0,False,9079.002545306908,-39.081434267274716
94.0,False,9075.66482675974,-39.05997881616682
95.0,False,9072.326419834042,-39.03852386642602
96.0,False,9068.987327765099,-39.01706943262343
97.0,False,9065.647553792141,-38.99561552933845
98.0,False,9062.307101158462,-38.97416217115986
99.0,False,9058.965973111288,-38.95270937268477
100.0,False,9055.624172901837,-38.93125714851901
101.0,False,9052.281699283427,-38.90980548438694
102.0,False,9048.93856451782,-38.88835445269166
103.0,False,9045.594767367766,-38.86690403917792
104.0,False,9042.250311100574,-38.84545425848789
105.0,False,9038.905198987544,-38.82400512527275
106.0,False,9035.559434304021,-38.802556654192855
107.0,False,9032.21302032944,-38.781108859918206
108.0,False,9028.86595583539,-38.759661728219506
109.0,False,9025.518253131579,-38.738215331599285
110.0,False,9022.169910999159,-38.71676965585
111.0,False,9018.820932733694,-38.695324715678915
112.0,False,9015.47132163483,-38.67388052580318
113.0,False,9012.121081006275,-38.652437100949335
114.0,False,9008.770214155855,-38.63099445585412
115.0,False,9005.418719873913,-38.609552576338444
116.0,False,9002.06661051804,-38.58811153500635
117.0,False,8998.71388488813,-38.56667131770086
118.0,False,8995.360546308322,-38.54523193919792
119.0,False,8992.006598106816,-38.523793414283205
120.0,False,8988.652043615984,-38.502355757753
121.0,False,8985.296886172242,-38.480918984413215
122.0,False,8981.941129116098,-38.45948310907991
123.0,False,8978.584771259983,-38.43804811763698
124.0,False,8975.227825015949,-38.416614082805154
125.0,False,8971.870289205921,-38.39518099049058
126.0,False,8968.512167186991,-38.37374885555126
127.0,False,8965.15346232033,-38.352317692855145
128.0,False,8961.794177971258,-38.33088751728096
129.0,False,8958.4343175093,-38.3094583437183
130.0,False,8955.073879766445,-38.28803015810882
131.0,False,8951.712877202417,-38.2666030332777
132.0,False,8948.351308658912,-38.24517695519069
133.0,False,8944.989177522053,-38.22375193878014
134.0,False,8941.62648718211,-38.20232799898938
135.0,False,8938.26324103363,-38.18090515077316
136.0,False,8934.899442475262,-38.15948340909684
137.0,False,8931.535094909876,-38.13806278893701
138.0,False,8928.170197192445,-38.1166432763067
139.0,False,8924.804761837124,-38.09522494415276
140.0,False,8921.43878770856,-38.073807778512474
141.0,False,8918.072278226478,-38.052391794407974
142.0,False,8914.70523681474,-38.030977006872185
143.0,False,8911.337666901507,-38.009563430949996
144.0,False,8907.969571919084,-37.9881510816975
145.0,False,8904.600950743088,-37.966739945194504
146.0,False,8901.231815935047,-37.945330094495056
147.0,False,8897.862166380322,-37.923921515704414
148.0,False,8894.492005528207,-37.9025142239255
149.0,False,8891.121336832266,-37.88110823427344
150.0,False,8887.750163750296,-37.859703561874994
151.0,False,8884.378489744426,-37.838300221869424
152.0,False,8881.006318280999,-37.81689822940767
153.0,False,8877.63364825959,-37.79549757064972
154.0,False,8874.260492295973,-37.77409831877546
155.0,False,8870.886849299532,-37.75270045997119
156.0,False,8867.512722753732,-37.73130400943674
157.0,False,8864.1381161464,-37.70990898238468
158.0,False,8860.763032969593,-37.688515394039634
159.0,False,8857.38747671971,-37.667123259639006
160.0,False,8854.01144631782,-37.64573256541725
161.0,False,8850.63495442698,-37.62434338466587
162.0,False,8847.257999978074,-37.60295570364615
163.0,False,8843.88058648485,-37.581569537646665
164.0,False,8840.502717465275,-37.56018490196795
165.0,False,8837.124396441683,-37.538801811923726
166.0,False,8833.745626940732,-37.517420282840504
167.0,False,8830.366407905503,-37.49604030103192
168.0,False,8826.98675204616,-37.474661939901765
169.0,False,8823.606658315619,-37.45328518579118
170.0,False,8820.226130258021,-37.43191005407946
171.0,False,8816.845171421835,-37.41053656015895
172.0,False,8813.463785359883,-37.38916471943536
173.0,False,8810.081975629444,-37.36779454732812
174.0,False,8806.699745792117,-37.346426059269795
175.0,False,8803.317094816513,-37.325059241668036
176.0,False,8799.93403546667,-37.30369416805834
177.0,False,8796.550566721164,-37.282330824877135
178.0,False,8793.166692159184,-37.260969227611525
179.0,False,8789.782415364405,-37.23960939176284
180.0,False,8786.397739924845,-37.21825133284574
