Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km],Elevation[deg]
0.0,False,12111.085228419872,-62.60880265188353
1.0,False,12110.965592405864,-62.607554081002874
2.0,False,12110.843189733998,-62.606276886517435
3.0,False,12110.71802045073,-62.60497107250185
4.0,False,12110.59008477373,-62.60363664488464
5.0,False,12110.459382409177,-62.602273604373025
6.0,False,12110.325913580977,-62.60088195711933
7.0,False,12110.189678341178,-62.599461707574164
8.0,False,12110.05067674324,-62.598012860282005
9.0,False,12109.90890884201,-62.59653541988114
10.0,False,12109.764374693748,-62.59502939110351
11.0,False,12109.617074356105,-62.59349477877474
12.0,False,12109.467008030522,-62.591931589289075
13.0,False,12109.314175489255,-62.59033982467339
14.0,False,12109.158576939977,-62.588719491544445
15.0,False,12109.000212445937,-62.58707059510159
16.0,False,12108.839082071803,-62.585393140637436
17.0,False,12108.67518588363,-62.58368713353772
18.0,False,12108.508523948876,-62.58195257928133
19.0,False,12108.339096454765,-62.58018948466583
20.0,False,12108.1669032314,-62.57839785286884
21.0,False,12107.991944472235,-62.576577690909325
22.0,False,12107.814220250337,-62.574729004637504
23.0,False,12107.633730640164,-62.57285179999629
24.0,False,12107.45047571759,-62.570946083021155
25.0,False,12107.264455559873,-62.56901185983997
26.0,False,12107.075670340018,-62.56704913764953
27.0,False,12106.88411994599,-62.56505792077376
28.0,False,12106.689804557027,-62.56303821662934
29.0,False,12106.492724256002,-62.56099003171308
30.0,False,12106.292879127182,-62.55891337261364
31.0,False,12106.090269256249,-62.556808246011556
32.0,False,12105.884894730269,-62.55467465867917
33.0,False,12105.676755637727,-62.5525126174804
34.0,False,12105.46585213537,-62.550322130062575
35.0,False,12105.252184177303,-62.54810320205337
36.0,False,12105.035751926513,-62.54585584131852
37.0,False,12104.816555477082,-62.543580055087446
38.0,False,12104.594594924494,-62.541275850680755
39.0,False,12104.369870365645,-62.53894323551002
40.0,False,12104.14238189882,-62.536582217077665
41.0,False,12103.91212966654,-62.534192803419884
42.0,False,12103.6791136808,-62.53177500129917
43.0,False,12103.443334090372,-62.529328818968374
44.0,False,12103.204790999147,-62.526854264292346
45.0,False,12102.963484512424,-62.524351345226165
46.0,False,12102.719414736914,-62.521820069815085
47.0,False,12102.472581780716,-62.5192604461945
48.0,False,12102.222985753344,-62.516672482589605
49.0,False,12101.970626781049,-62.51405618747407
50.0,False,12101.71550494202,-62.51141156889992
51.0,False,12101.457620368754,-62.50873863555546
52.0,False,12101.196973176373,-62.50603739602441
53.0,False,12100.933563481398,-62.50330785897976
54.0,False,12100.667391401754,-62.500550033183536
55.0,False,12100.39845705677,-62.49776392748686
56.0,False,12100.12676055847,-62.494949550739896
57.0,False,12099.852302042964,-62.492106912115695
58.0,False,12099.575081628525,-62.489236020677154
59.0,False,12099.29509944009,-62.48633688563018
60.0,False,12099.012355604005,-62.48340951626886
61.0,False,12098.726850248022,-62.480453921975595
62.0,False,12098.438583501294,-62.477470112220786
63.0,False,12098.14755549437,-62.47445809656271
64.0,False,12097.853766323013,-62.471417884273905
65.0,False,12097.557216189554,-62.46834948579975
66.0,False,12097.257905195996,-62.46525291062327
67.0,False,12096.955833478514,-62.46212816865298
68.0,False,12096.651001174676,-62.45897526988454
69.0,False,12096.343408423469,-62.45579422440059
70.0,False,12096.033055365277,-62.45258504237074
71.0,False,12095.719942081621,-62.449347733429725
72.0,False,12095.404068832793,-62.446082309127995
73.0,False,12095.08543570656,-62.442788779308685
74.0,False,12094.764042848932,-62.43946715448732
75.0,False,12094.43989040731,-62.436117445265495
76.0,False,12094.112978530511,-62.43273966233074
77.0,False,12093.783307368754,-62.42933381645639
78.0,False,12093.45087698932,-62.42589991763242
79.0,False,12093.115687710486,-62.42243797850582
80.0,False,12092.777739605777,-62.41894800927266
81.0,False,12092.437032831032,-62.41543002104775
82.0,False,12092.093567543501,-62.41188402503089
83.0,False,12091.747343901836,-62.40831003250669
84.0,False,12091.39836206609,-62.40470805484431
85.0,False,12091.046622197728,-62.40107810349746
86.0,False,12090.692124347768,-62.39742018885267
87.0,False,12090.334868900742,-62.393734324799716
88.0,False,12089.974855913926,-62.39002052192833
89.0,False,12089.612085554409,-62.38627879202847
90.0,False,12089.246557990677,-62.38250914697349
91.0,False,12088.878273392635,-62.378711598720315
92.0,False,12088.507231931591,-62.374886159309014
93.0,False,12088.133433644327,-62.37103283946471
94.0,False,12087.75687897338,-62.36715165415447
95.0,False,12087.377567961796,-62.36324261430422
96.0,False,12086.995500786505,-62.35930573228533
97.0,False,12086.610677625846,-62.355341020551485
98.0,False,12086.223098659573,-62.35134849163854
99.0,False,12085.832764068842,-62.34732815816449
100.0,False,12085.439674036217,-62.34328003282888
101.0,False,12085.043828582218,-62.339204126733705
102.0,False,12084.645228215693,-62.33510045606536
103.0,False,12084.243872963409,-62.33096903212358
104.0,False,12083.83976301357,-62.32680986793347
105.0,False,12083.432898555779,-62.32262297660095
106.0,False,12083.02327978105,-62.31840837131259
107.0,False,12082.610906881799,-62.31416606533557
108.0,False,12082.19577986432,-62.309896070092215
109.0,False,12081.77789929549,-62.305598402825055
110.0,False,12081.357265187857,-62.30127307515161
111.0,False,12080.933877739475,-62.29692010065899
112.0,False,12080.507737149812,-62.2925394930139
113.0,False,12080.078843619744,-62.288131265962264
114.0,False,12079.647197351553,-62.2836954333293
115.0,False,12079.212798337307,-62.279232006848865
116.0,False,12078.775647201921,-62.274741004809115
117.0,False,12078.335743943724,-62.27022243913616
118.0,False,12077.893088770634,-62.26567632396972
119.0,False,12077.447681891992,-62.26110267352744
120.0,False,12076.999523518534,-62.25650150210519
121.0,False,12076.548613862418,-62.251872824076266
122.0,False,12076.094953137208,-62.24721665389159
123.0,False,12075.638541318722,-62.242533003629966
124.0,False,12075.17937909822,-62.23782189276094
125.0,False,12074.717466457772,-62.233083333552045
126.0,False,12074.2528036166,-62.228317340762274
127.0,False,12073.785390795316,-62.22352392922702
128.0,False,12073.315228215948,-62.21870311385796
129.0,False,12072.842316101944,-62.213854909642855
130.0,False,12072.366654414911,-62.20897932895185
131.0,False,12071.888243904159,-62.204076392276264
132.0,False,12071.40708453756,-62.19914611217209
133.0,False,12070.923176544213,-62.19418850392922
134.0,False,12070.436520154606,-62.189203582912526
135.0,False,12069.947115600662,-62.1841913645616
136.0,False,12069.45496311571,-62.17915186439065
137.0,False,12068.960062934482,-62.174085097988225
138.0,False,12068.462415002357,-62.1689910780457
139.0,False,12067.962020135014,-62.16386982620761
140.0,False,12067.458878284087,-62.15872135534753
141.0,False,12066.95298968998,-62.153545681349314
142.0,False,12066.444354594492,-62.1483428201699
143.0,False,12065.932973240839,-62.143112787839364
144.0,False,12065.418845873659,-62.137855600460476
145.0,False,12064.901972424133,-62.13257127099498
146.0,False,12064.38235376601,-62.127259822083495
147.0,False,12063.859989836743,-62.12192126686685
148.0,False,12063.33488088662,-62.116555621736836
149.0,False,12062.807027167346,-62.111162903157044
150.0,False,12062.276428932038,-62.10574312766234
151.0,False,12061.743086435237,-62.10029631185901
152.0,False,12061.206999932887,-62.09482247242431
153.0,False,12060.668169339951,-62.08932162261627
154.0,False,12060.126595596575,-62.08379378619883
155.0,False,12059.582278623995,-62.078238976605455
156.0,False,12059.035218683815,-62.07265721079503
157.0,False,12058.485416039077,-62.06704850579647
158.0,False,12057.932870954211,-62.06141287870817
159.0,False,12057.377583695088,-62.05575034669801
160.0,False,12056.819554162486,-62.05006092327222
161.0,False,12056.258783354648,-62.04434463316397
162.0,False,12055.695271178629,-62.03860149005141
163.0,False,12055.12901790596,-62.03283151137778
164.0,False,12054.560023809589,-62.02703471465436
165.0,False,12053.988289163875,-62.021211117460496
166.0,False,12053.413814244599,-62.01536073744322
167.0,False,12052.836598938382,-62.009483588346335
168.0,False,12052.256644301557,-62.00357969585922
169.0,False,12051.673950227017,-61.99764907389421
170.0,False,12051.088516996222,-61.99169174036711
171.0,False,12050.500344892042,-61.98570771326013
172.0,False,12049.90943419876,-61.97969701062202
173.0,False,12049.315785202098,-61.97365965056748
174.0,False,12048.719398189174,-61.967595651277136
175.0,False,12048.120273030434,-61.961505026752874
176.0,False,12047.518410848617,-61.95538780376084
177.0,False,12046.913811520448,-61.94924399646742
178.0,False,12046.306475338732,-61.9430736233143
179.0,False,12045.696402597696,-61.93687670280773
180.0,False,12045.08359359299,-61.9306532535183
181.0,False,12044.46804862168,-61.92440329408085
182.0,False,12043.84976754006,-61.918126838711416
183.0,False,12043.22875152899,-61.911823915103646
184.0,False,12042.60500045105,-61.905494537634766
185.0,False,12041.97851460899,-61.89913872519371
186.0,False,12041.349294306989,-61.89275649673242
187.0,False,12040.717339850638,-61.88634787126545
188.0,False,12040.082651546953,-61.87991286786989
189.0,False,12039.44522970438,-61.87345150568494
190.0,False,12038.805074163056,-61.86696379915792
191.0,False,12038.16218617027,-61.86044977702568
192.0,False,12037.516565572454,-61.85390945389246
193.0,False,12036.86821268373,-61.84734284914382
194.0,False,12036.217127819655,-61.84074998222623
195.0,False,12035.563311297212,-61.834130872646945
196.0,False,12034.9067634348,-61.82748553997356
197.0,False,12034.247484058442,-61.82081399884358
198.0,False,12033.58547447355,-61.81411627889189
199.0,False,12032.920734512436,-61.807392394909314
200.0,False,12032.253264499199,-61.80064236670283
201.0,False,12031.583064759361,-61.793866214138625
202.0,False,12030.910135619872,-61.78706395714187
203.0,False,12030.234477409107,-61.78023561569629
204.0,False,12029.556089938978,-61.773381204618424
205.0,False,12028.874974573038,-61.76650075442686
206.0,False,12028.191131129492,-61.75959428008771
207.0,False,12027.504559942414,-61.75266180181716
208.0,False,12026.815261347312,-61.74570333988876
209.0,False,12026.123235681114,-61.73871891463315
210.0,False,12025.428483282169,-61.73170854643806
211.0,False,12024.73100449027,-61.72467225574787
212.0,False,12024.030799101225,-61.71761005756948
213.0,False,12023.32786854503,-61.710521983414104
214.0,False,12022.622212623786,-61.70340804843417
215.0,False,12021.913831682992,-61.69626827329822
216.0,False,12021.202726069565,-61.68910267873011
217.0,False,12020.48889613186,-61.68191128550901
218.0,False,12019.772342219652,-61.67469411446887
219.0,False,12019.053064114683,-61.667451180770925
220.0,False,12018.331063305084,-61.660182516779564
221.0,False,12017.606339578895,-61.652888137797866
222.0,False,12016.878893291601,-61.64556806487676
223.0,False,12016.14872480014,-61.63822231912093
224.0,False,12015.415834462863,-61.63085092168832
225.0,False,12014.68022263956,-61.623453893789986
226.0,False,12013.941889691436,-61.61603125668989
227.0,False,12013.20083538419,-61.60858302571171
228.0,False,12012.457061272376,-61.601109234176704
229.0,False,12011.710567127986,-61.5936098975462
230.0,False,12010.961353317962,-61.58608503729287
231.0,False,12010.209420210667,-61.57853467494105
232.0,False,12009.454768175921,-61.57095883206624
233.0,False,12008.69739758495,-61.563357530295185
234.0,False,12007.937308189403,-61.555730785081224
235.0,False,12007.174501601996,-61.54807863056743
236.0,False,12006.408977580679,-61.54040108234097
237.0,False,12005.640736502413,-61.53269816223009
238.0,False,12004.869778745611,-61.52496989211276
239.0,False,12004.096104690107,-61.51721629391653
240.0,False,12003.319714717172,-61.50943738961813
241.0,False,12002.540609209504,-61.50163320124327
242.0,False,12001.758787902743,-61.49380374437938
243.0,False,12000.974252476042,-61.485949054090604
244.0,False,12000.187002671342,-61.47806914609386
245.0,False,11999.39703887709,-61.47016404260827
246.0,False,11998.604361483163,-61.462233765900585
247.0,False,11997.808970880878,-61.45427833828491
248.0,False,11997.01086746299,-61.446297782122755
249.0,False,11996.210050951133,-61.438292113106414
250.0,False,11995.406523082615,-61.43026136708999
251.0,False,11994.600283585372,-61.42220555989173
252.0,False,11993.79133285791,-61.41412471405902
253.0,False,11992.97967130017,-61.40601885218523
254.0,False,11992.165299313523,-61.39788799690936
255.0,False,11991.348217300792,-61.38973217091581
256.0,False,11990.52842496962,-61.38155138999028
257.0,False,11989.70592411548,-61.3733456907622
258.0,False,11988.880714452327,-61.36511508913919
259.0,False,11988.052796388729,-61.35685960798455
260.0,False,11987.222170334702,-61.348579270205526
261.0,False,11986.388836701697,-61.34027409875341
262.0,False,11985.552795902606,-61.33194411662283
263.0,False,11984.71404835175,-61.32358934685185
264.0,False,11983.872593740844,-61.31520980531877
265.0,False,11983.028433931797,-61.306805529520766
266.0,False,11982.181568622631,-61.29837653545368
267.0,False,11981.33199823344,-61.28992284632624
268.0,False,11980.479723185763,-61.281444485389194
269.0,False,11979.624743902572,-61.27294147593488
270.0,False,11978.7670608083,-61.264413841297376
271.0,False,11977.90667358072,-61.25586159742366
272.0,False,11977.043584139876,-61.24728478255411
273.0,False,11976.17779216988,-61.23868341274976
274.0,False,11975.309298100916,-61.2300575115079
275.0,False,11974.438102364615,-61.22140710236618
276.0,False,11973.564205394076,-61.21273220890227
277.0,False,11972.687607623817,-61.204032854733434
278.0,False,11971.808309489814,-61.195309063516454
279.0,False,11970.926310653947,-61.18656085126294
280.0,False,11970.041613102727,-61.17778825704458
281.0,False,11969.154216504345,-61.168991296982526
282.0,False,11968.264121300566,-61.160169994888875
283.0,False,11967.371327934592,-61.15132437461383
284.0,False,11966.475836851067,-61.14245446004548
285.0,False,11965.577648496086,-61.13356027510963
286.0,False,11964.676762517649,-61.124641835862434
287.0,False,11963.773180960407,-61.115699182086736
288.0,False,11962.86690347868,-61.106732329944556
289.0,False,11961.957930524359,-61.097741303509714
290.0,False,11961.046262550775,-61.088726126892645
291.0,False,11960.13190001271,-61.07968682423978
292.0,False,11959.214843366408,-61.070623419733565
293.0,False,11958.295092245997,-61.06153592946325
294.0,False,11957.372648754268,-61.052424393908225
295.0,False,11956.4475125317,-61.04328882925986
296.0,False,11955.519684040317,-61.034129259841635
297.0,False,11954.589163743602,-61.024945710011615
298.0,False,11953.655952106497,-61.01573820416229
299.0,False,11952.720049595388,-61.006506766720285
300.0,False,11951.78145667811,-60.997251422146036
301.0,False,11950.840172972992,-60.98797218655301
302.0,False,11949.896200649277,-60.97866910119869
303.0,False,11948.949539331625,-60.96934218229435
304.0,False,11948.000189493685,-60.95999145443355
305.0,False,11947.048151610563,-60.950616942242526
306.0,False,11946.093426158814,-60.94121867037972
307.0,False,11945.136013616444,-60.93179666353577
308.0,False,11944.175913587984,-60.92235093783378
309.0,False,11943.21312830081,-60.91288153519577
310.0,False,11942.247657365777,-60.903388471839015
311.0,False,11941.279501266721,-60.89387177258031
312.0,False,11940.30866048893,-60.88433146226719
313.0,False,11939.335135519135,-60.87476756577796
314.0,False,11938.35892684555,-60.865180108021335
315.0,False,11937.380034957829,-60.855569113936134
316.0,False,11936.398459444745,-60.84593459964273
317.0,False,11935.414202600117,-60.83627660780534
318.0,False,11934.427264019068,-60.82659515463435
319.0,False,11933.437644197073,-60.81689026518684
320.0,False,11932.445343631094,-60.80716196454883
321.0,False,11931.450362819525,-60.797410277834885
322.0,False,11930.452702262239,-60.787635230188116
323.0,False,11929.45236153426,-60.777836837715235
324.0,False,11928.449342987538,-60.768015143713846
325.0,False,11927.443646203441,-60.7581701643772
326.0,False,11926.435271687693,-60.74830192495976
327.0,False,11925.424219947448,-60.73841045074326
328.0,False,11924.410491491333,-60.72849576703625
329.0,False,11923.39408682944,-60.71855789917424
330.0,False,11922.375006473321,-60.70859687251924
331.0,False,11921.353249982332,-60.698612703149216
332.0,False,11920.328819774855,-60.688605435068226
333.0,False,11919.301715416586,-60.67857508443676
334.0,False,11918.271937424928,-60.66852167672041
335.0,False,11917.23948631875,-60.658445237410064
336.0,False,11916.204362618393,-60.648345792021814
337.0,False,11915.166566845652,-60.63822336609649
338.0,False,11914.126098546194,-60.62807797567591
339.0,False,11913.082960196522,-60.61790966536677
340.0,False,11912.03715134865,-60.60771845128985
341.0,False,11910.988672530237,-60.59750435908295
342.0,False,11909.93752427042,-60.587267414407606
343.0,False,11908.883707099792,-60.57700764294889
344.0,False,11907.827221550417,-60.56672507041483
345.0,False,11906.7680671543,-60.55641971280071
346.0,False,11905.70624644607,-60.546091615301876
347.0,False,11904.641758964077,-60.53574079398904
348.0,False,11903.574605246271,-60.52536727466082
349.0,False,11902.50478583206,-60.51497108313786
350.0,False,11901.432301262308,-60.50455224526253
351.0,False,11900.357152079363,-60.494110786898815
352.0,False,11899.279338827053,-60.48364673393215
353.0,False,11898.198861021825,-60.47316010229229
354.0,False,11897.115721264683,-60.462650937829856
355.0,False,11896.029919078454,-60.45211925654615
356.0,False,11894.941455012826,-60.44156508440962
357.0,False,11893.850329618976,-60.4309884474088
358.0,False,11892.756543449557,-60.42038937155237
359.0,False,11891.660097058695,-60.40976788286855
360.0,False,11890.560989949252,-60.399123997219235
361.0,False,11889.459224780341,-60.3884577610136
362.0,False,11888.354801061187,-60.37776919018167
363.0,False,11887.247719351812,-60.36705831082841
364.0,False,11886.137980213714,-60.35632514907754
365.0,False,11885.025584209852,-60.345569731071
366.0,False,11883.910531904685,-60.334792082968946
367.0,False,11882.792823864134,-60.323992230949585
368.0,False,11881.672459575586,-60.31317019078535
369.0,False,11880.54944176453,-60.30232600950668
370.0,False,11879.423769924719,-60.29145970295053
371.0,False,11878.295444627991,-60.280571297364496
372.0,False,11877.164466447659,-60.26966081901313
373.0,False,11876.0308359585,-60.258728294177494
374.0,False,11874.894553736805,-60.24777374915527
375.0,False,11873.755619256433,-60.23679719963032
376.0,False,11872.614035300974,-60.225798693162474
377.0,False,11871.469801350666,-60.214778245496824
378.0,False,11870.322917987694,-60.20373588299432
379.0,False,11869.17338579574,-60.1926716320312
380.0,False,11868.021205359964,-60.18158551899892
381.0,False,11866.866377267004,-60.17047757030368
382.0,False,11865.708902104978,-60.1593478123664
383.0,False,11864.548779332366,-60.14819626075866
384.0,False,11863.38601179911,-60.13702296362864
385.0,False,11862.220598970052,-60.12582793660518
386.0,False,11861.052541439272,-60.11461120616599
387.0,False,11859.8818398023,-60.10337279880201
388.0,False,11858.70849465617,-60.09211274101775
389.0,False,11857.532506599384,-60.08083105933081
390.0,False,11856.353875076999,-60.069527769204676
391.0,False,11855.17260299701,-60.058202919288156
392.0,False,11853.98868981085,-60.04685652509911
393.0,False,11852.80213612297,-60.03548861320576
394.0,False,11851.612942539332,-60.02409921018857
395.0,False,11850.421109667363,-60.012688342639834
396.0,False,11849.226638116006,-60.00125603716383
397.0,False,11848.029527316892,-59.9898023091068
398.0,False,11846.829780236096,-59.9783272076056
399.0,False,11845.627396311638,-59.96683074805775
400.0,False,11844.422376158405,-59.955312957112206
401.0,False,11843.214720392778,-59.94377386142865
402.0,False,11842.00442963264,-59.93221348767739
403.0,False,11840.791504497347,-59.92063186253884
404.0,False,11839.575945607761,-59.909029012703506
405.0,False,11838.35775238026,-59.89740495337369
406.0,False,11837.136927847247,-59.88575973422778
407.0,False,11835.91347143148,-59.87409337051553
408.0,False,11834.687383759801,-59.86240588896614
409.0,False,11833.458665460535,-59.850697316317614
410.0,False,11832.227317163504,-59.838967679316895
411.0,False,11830.99333950004,-59.82721700471985
412.0,False,11829.75673187319,-59.81544530759337
413.0,False,11828.517497373397,-59.80365263807622
414.0,False,11827.275635410115,-59.791839011280246
415.0,False,11826.03114662065,-59.78000445399402
416.0,False,11824.784031643807,-59.768148993013774
417.0,False,11823.534291119904,-59.75627265514354
418.0,False,11822.281925690748,-59.74437546719455
419.0,False,11821.026935999635,-59.7324574559851
420.0,False,11819.769321434458,-59.7205186364175
421.0,False,11818.509085151974,-59.70855905914193
422.0,False,11817.246226546464,-59.696578739102165
423.0,False,11815.980746267247,-59.6845777031433
424.0,False,11814.712644965128,-59.6725559781167
425.0,False,11813.44192329243,-59.66051359087963
426.0,False,11812.168581902954,-59.64845056829516
427.0,False,11810.892620171386,-59.63636692511342
428.0,False,11809.614041312485,-59.62426271241854
429.0,False,11808.332844707298,-59.61213794499896
430.0,False,11807.049031015678,-59.59999264973946
431.0,False,11805.762600898961,-59.58782685352947
432.0,False,11804.473555019995,-59.575640583263194
433.0,False,11803.181894043144,-59.56343386583955
434.0,False,11801.887617329872,-59.551206715848224
435.0,False,11800.590728152953,-59.538959184795615
436.0,False,11799.291225880268,-59.52669128730742
437.0,False,11797.989111182194,-59.51440305029873
438.0,False,11796.684384730632,-59.50209450068826
439.0,False,11795.377047199001,-59.489765665398274
440.0,False,11794.067099262213,-59.47741657135426
441.0,False,11792.754541596689,-59.465047245484776
442.0,False,11791.439373548887,-59.4526577021873
443.0,False,11790.121598457856,-59.440247993436664
444.0,False,11788.80121567646,-59.42781813366316
445.0,False,11787.478225887162,-59.41536814980596
446.0,False,11786.152629773964,-59.40289806880647
447.0,False,11784.824428022375,-59.39040791760832
448.0,False,11783.493621319405,-59.377897723156714
449.0,False,11782.160208998419,-59.36536749967343
450.0,False,11780.824194456443,-59.352817299530486
451.0,False,11779.48557703324,-59.340247136979706
452.0,False,11778.144357421897,-59.32765703897225
453.0,False,11776.800536317012,-59.31504703246029
454.0,False,11775.454114414702,-59.302417144396664
455.0,False,11774.10509241261,-59.28976740173525
456.0,False,11772.753471009886,-59.27709783143015
457.0,False,11771.39924952497,-59.26440844749339
458.0,False,11770.042431421149,-59.25169930273767
459.0,False,11768.683016023277,-59.23897041120221
460.0,False,11767.321004036583,-59.22622179984157
461.0,False,11765.956396167841,-59.21345349561011
462.0,False,11764.589193125323,-59.20066552546157
463.0,False,11763.219395618824,-59.18785791634903
464.0,False,11761.847002953788,-59.175030682094146
465.0,False,11760.472018651457,-59.162183875882945
466.0,False,11759.094442023677,-59.14931751156164
467.0,False,11757.71427378638,-59.13643161607941
468.0,False,11756.33151465697,-59.1235262163837
469.0,False,11754.946165354395,-59.11060133942032
470.0,False,11753.55822659912,-59.097657012133396
471.0,False,11752.167699113164,-59.084693261465254
472.0,False,11750.774582187163,-59.0717101010117
473.0,False,11749.378879408574,-59.05870758437264
474.0,False,11747.980590074467,-59.04568572516588
475.0,False,11746.57971491296,-59.03264455032437
476.0,False,11745.17625465369,-59.01958408677833
477.0,False,11743.770210027846,-59.00650436145529
478.0,False,11742.36158176813,-58.99340540127962
