Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km],Elevation[deg]
0.0,False,9680.894901481548,-43.053562481521126
1.0,False,9684.05520054119,-43.074881777935765
2.0,False,9687.214313019913,-43.096199224720614
3.0,False,9690.372236301164,-43.11751480787644
4.0,False,9693.528971976517,-43.138828541797956
5.0,False,9696.684509024466,-43.160140355691716
6.0,False,9699.838849044025,-43.18145026394904
7.0,False,9702.991989431197,-43.202758252564614
8.0,False,9706.143927585086,-43.22406430753134
9.0,False,9709.294660907939,-43.2453684148405
10.0,False,9712.444186805064,-43.26667056048118
11.0,False,9715.592502684944,-43.28797073044117
12.0,False,9718.73961015473,-43.3092689391042
13.0,False,9721.885498236761,-43.330565115658295
14.0,False,9725.030168545596,-43.35185927448314
15.0,False,9728.17361850215,-43.37315140155871
16.0,False,9731.315845530366,-43.394441482862526
17.0,False,9734.456847057341,-43.41572950437043
18.0,False,9737.596620513257,-43.437015452055974
19.0,False,9740.735167518467,-43.458299340289415
20.0,False,9743.872477133877,-43.4795810982419
21.0,False,9747.008550987277,-43.5008607402793
22.0,False,9750.14338652107,-43.52213825236541
23.0,False,9753.276981180861,-43.54341362046245
24.0,False,9756.409332415278,-43.564686830529894
25.0,False,9759.540437676042,-43.58595786852471
26.0,False,9762.670298596324,-43.60722674880016
27.0,False,9765.798904275798,-43.62849340050998
28.0,False,9768.926256354995,-43.64975783800205
29.0,False,9772.052352297842,-43.67102004722278
30.0,False,9775.1771895713,-43.692280014115774
31.0,False,9778.300765645376,-43.71353772462187
32.0,False,9781.42307799307,-43.734793164678536
33.0,False,9784.544124090467,-43.756046320220854
34.0,False,9787.66390558513,-43.77729720557942
35.0,False,9790.782411620992,-43.798545749885584
36.0,False,9793.899643852925,-43.81979196746391
37.0,False,9797.015599769122,-43.84103584423722
38.0,False,9800.130276860715,-43.86227736612466
39.0,False,9803.243672621924,-43.88351651904261
40.0,False,9806.355784549953,-43.90475328890401
41.0,False,9809.466614304558,-43.92598769001602
42.0,False,9812.576151068564,-43.94721965148946
43.0,False,9815.68439650903,-43.968449187625026
44.0,False,9818.791348135115,-43.989676284321696
45.0,False,9821.897003459031,-44.010900927475326
46.0,False,9825.001359995955,-44.032123102978076
47.0,False,9828.104415264075,-44.05334279671856
48.0,False,9831.206166784481,-44.0745599945813
49.0,False,9834.306616230455,-44.09577471084266
50.0,False,9837.405752829492,-44.11698687458925
51.0,False,9840.503578262102,-44.138196500089904
52.0,False,9843.600090061307,-44.1594035732142
53.0,False,9846.69528576311,-44.18060807982786
54.0,False,9849.78916290642,-44.2018100057921
55.0,False,9852.881719033145,-44.223009336964694
56.0,False,9855.972955828045,-44.244206087591316
57.0,False,9859.06286255778,-44.265400186736166
58.0,False,9862.151440914318,-44.28659164863708
59.0,False,9865.23868845137,-44.30778045913507
60.0,False,9868.324602725505,-44.32896660406639
61.0,False,9871.409181296322,-44.35015006926347
62.0,False,9874.49242172626,-44.37133084055387
63.0,False,9877.574321580767,-44.392508903761154
64.0,False,9880.654882557277,-44.413684273092095
65.0,False,9883.734093967452,-44.434856877584345
66.0,False,9886.811957515909,-44.45602673143605
67.0,False,9889.888470779746,-44.47719382045243
68.0,False,9892.96363133896,-44.498358130433786
69.0,False,9896.037436776462,-44.51951964717587
70.0,False,9899.10988467801,-44.5406783564692
71.0,False,9902.180976751939,-44.56183427248384
72.0,False,9905.250702349238,-44.582987324232235
73.0,False,9908.319063185383,-44.604137525875096
74.0,False,9911.38605685774,-44.62528486318359
75.0,False,9914.451680966593,-44.64642932192381
76.0,False,9917.515933115044,-44.6675708878565
77.0,False,9920.578810909128,-44.688709546737634
78.0,False,9923.640316067667,-44.70984531269666
79.0,False,9926.700437981182,-44.730978114720386
80.0,False,9929.759178375625,-44.75210796692855
81.0,False,9932.816534868538,-44.77323485505615
82.0,False,9935.872505080197,-44.79435876483192
83.0,False,9938.927086633867,-44.81547968198008
84.0,False,9941.980277155631,-44.83659759221914
85.0,False,9945.032074274382,-44.85771248126158
86.0,False,9948.08247972057,-44.87882436318699
87.0,False,9951.131482930097,-44.89993316695192
88.0,False,9954.179085640462,-44.921038906624986
89.0,False,9957.225285491973,-44.942141567896535
90.0,False,9960.270080127788,-44.963241136451
91.0,False,9963.313467193824,-44.98433759796672
92.0,False,9966.3554443389,-45.005430938116376
93.0,False,9969.396013303318,-45.02652117093238
94.0,False,9972.435163562697,-45.04760822534307
95.0,False,9975.47289686442,-45.06869211536978
96.0,False,9978.509210868557,-45.089772826661054
97.0,False,9981.544103238006,-45.1108503448595
98.0,False,9984.577571638425,-45.13192465560103
99.0,False,9987.609613738323,-45.15299574451582
100.0,False,9990.640227209022,-45.174063597227715
101.0,False,9993.669413801656,-45.19512822771096
102.0,False,9996.697163037532,-45.21618956486148
103.0,False,9999.723476674853,-45.23724762264191
104.0,False,10002.74835239607,-45.25830238665015
105.0,False,10005.771787886459,-45.27935384247799
106.0,False,10008.793780834081,-45.30040197571045
107.0,False,10011.814328929713,-45.32144677192563
108.0,False,10014.83343393377,-45.34248824504428
109.0,False,10017.851085407561,-45.3635263239323
