Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km],Elevation[deg]
0.0,False,9220.513131693975,-39.989929541478425
1.0,False,9225.218086636407,-40.02057675559765
2.0,False,9229.920963243008,-40.05122108343653
3.0,False,9234.621759553022,-40.08186252597597
4.0,False,9239.320470832996,-40.11250106608825
5.0,False,9244.01710067761,-40.143136740927545
6.0,False,9248.711644356961,-40.1737695333443
7.0,False,9253.404099919298,-40.2043994442753
8.0,False,9258.094465415097,-40.23502647464638
9.0,False,9262.782738897067,-40.2656506253723
10.0,False,9267.468918420192,-40.296271897357116
11.0,False,9272.15300204161,-40.32689029149351
12.0,False,9276.834985053303,-40.357505790564005
13.0,False,9281.514871052665,-40.38811843163775
14.0,False,9286.192655335122,-40.41872819747541
15.0,False,9290.86833596669,-40.44933508892558
16.0,False,9295.541911015598,-40.479939106826116
17.0,False,9300.213378552256,-40.510540252003615
18.0,False,9304.882736649253,-40.54113852527361
19.0,False,9309.549980620668,-40.571733909340125
20.0,False,9314.215114065879,-40.602326441197775
21.0,False,9318.87813230233,-40.6329161035284
22.0,False,9323.539033411405,-40.66350289710384
23.0,False,9328.197815476578,-40.69408682268435
24.0,False,9332.8544765835,-40.724667881019265
25.0,False,9337.50901482,-40.75524607284683
26.0,False,9342.161425522138,-40.78582138079257
27.0,False,9346.811712290882,-40.816393841776126
28.0,False,9351.459870465651,-40.846963438401175
29.0,False,9356.105898142861,-40.87753017136163
30.0,False,9360.749793421071,-40.90809404134056
31.0,False,9365.391554400992,-40.938655049009775
32.0,False,9370.031179185504,-40.969213195030406
33.0,False,9374.668665879559,-40.999768480052126
34.0,False,9379.30400984411,-41.030320886610085
35.0,False,9383.937214681666,-41.06087045153892
36.0,False,9388.568275756434,-41.09141715735178
37.0,False,9393.197191181847,-41.121961004654025
38.0,False,9397.823959073507,-41.152501994040335
39.0,False,9402.448577549061,-41.18304012609382
40.0,False,9407.071044728269,-41.213575401386635
41.0,False,9411.691355993737,-41.24410780237485
42.0,False,9416.309514948947,-41.274637365818386
43.0,False,9420.925516979678,-41.30516407415111
44.0,False,9425.539360214088,-41.33568792790102
45.0,False,9430.151042782387,-41.366208927584616
