Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km],Elevation[deg]
0.0,False,5927.753356429684,-19.954747201753406
1.0,False,5927.998777833175,-19.95623627188877
2.0,False,5928.24983868968,-19.957759349660346
3.0,False,5928.506538018722,-19.95931642830115
4.0,False,5928.7688744702855,-19.96090749879721
5.0,False,5929.036847719438,-19.9625325583004
6.0,False,5929.310456363882,-19.964191597445836
7.0,False,5929.5896993326405,-19.965884608849613
8.0,False,5929.874575532148,-19.96761158497399
9.0,False,5930.1650838462665,-19.969372518127386
10.0,False,5930.461223136303,-19.97116740046481
11.0,False,5930.762992241025,-19.972996223987707
12.0,False,5931.070389685968,-19.97485897879081
13.0,False,5931.383414853313,-19.976755660118716
14.0,False,5931.7020662165805,-19.978686257717662
15.0,False,5932.026342524557,-19.98065076297716
16.0,False,5932.356242503571,-19.98264916713398
17.0,False,5932.691764857528,-19.98468146127258
18.0,False,5933.03290826791,-19.98674763632513
19.0,False,5933.379671152262,-19.988847681614736
20.0,False,5933.732052637424,-19.99098159072586
21.0,False,5934.090051089184,-19.993149352635665
22.0,False,5934.453665099575,-19.995350957669174
23.0,False,5934.82289323831,-19.997586396000035
24.0,False,5935.197734052808,-19.999855657650684
25.0,False,5935.578186068217,-20.00215873249281
26.0,False,5935.964247595024,-20.004495609086707
27.0,False,5936.355917505739,-20.00686627936593
28.0,False,5936.7531940593935,-20.00927073154767
29.0,False,5937.156075692267,-20.011708954901735
30.0,False,5937.564560818467,-20.014180938548026
31.0,False,5937.978647829976,-20.016686671456775
32.0,False,5938.398335096647,-20.019226142448705
33.0,False,5938.823620966255,-20.021799340195223
34.0,False,5939.254503628194,-20.024406252396865
35.0,False,5939.690981665733,-20.027046869113256
36.0,False,5940.133053217191,-20.02972117770524
37.0,False,5940.580716542211,-20.032429166249337
38.0,False,5941.03396987847,-20.035170822674065
39.0,False,5941.492811441686,-20.037946134759945
40.0,False,5941.957239425669,-20.04075509013988
41.0,False,5942.427251915101,-20.04359767577329
42.0,False,5942.902847241506,-20.046473880092773
43.0,False,5943.384023438856,-20.049383689721388
44.0,False,5943.870778613542,-20.05232709170379
45.0,False,5944.363110850181,-20.055304072938203
46.0,False,5944.861018211624,-20.05831462017661
47.0,False,5945.3644987389935,-20.061358720025126
48.0,False,5945.873550451712,-20.064436358944203
49.0,False,5946.388171316296,-20.06754752306053
50.0,False,5946.908359378303,-20.070692198962764
51.0,False,5947.434112553995,-20.073870372445416
52.0,False,5947.965428776268,-20.077082029388833
53.0,False,5948.502305956466,-20.080327155529066
54.0,False,5949.044741984401,-20.083605736458114
55.0,False,5949.592734728394,-20.086917757624136
56.0,False,5950.146282053003,-20.090263204438582
57.0,False,5950.705381755207,-20.093642061891465
58.0,False,5951.270031649737,-20.09705431506598
59.0,False,5951.840229519228,-20.100499948837943
60.0,False,5952.415973124971,-20.103978947940814
61.0,False,5952.99726020695,-20.10749129696606
62.0,False,5953.58408848386,-20.11103698036328
63.0,False,5954.176455653165,-20.114615982440583
64.0,False,5954.774359464659,-20.118228287808304
65.0,False,5955.377797433264,-20.121873879647836
66.0,False,5955.986767259478,-20.125552742245947
67.0,False,5956.601266556097,-20.12926485934791
68.0,False,5957.221292914842,-20.133010214558922
69.0,False,5957.846843906387,-20.13678879134458
70.0,False,5958.477917080391,-20.140600573031147
71.0,False,5959.114510087878,-20.144445543543156
72.0,False,5959.756620198873,-20.148323684496415
73.0,False,5960.40424501558,-20.15223497949644
74.0,False,5961.057382003963,-20.156179411315296
75.0,False,5961.716028609147,-20.160156962587266
76.0,False,5962.3801822554515,-20.164167615809273
77.0,False,5963.049840346435,-20.168211353341157
78.0,False,5963.725000435963,-20.17228815843655
79.0,False,5964.405659551058,-20.176398011162714
80.0,False,5965.091815197279,-20.180540894459064
81.0,False,5965.783464695502,-20.184716790140328
82.0,False,5966.480605346003,-20.18892567988593
83.0,False,5967.183234428529,-20.193167545240257
84.0,False,5967.891349202319,-20.197442367612954
85.0,False,5968.604946906147,-20.201750128279265
86.0,False,5969.324024984915,-20.206090809745316
87.0,False,5970.0485801903915,-20.210464390330614
88.0,False,5970.778609919804,-20.21487085223255
89.0,False,5971.514111330447,-20.219310176192483
90.0,False,5972.255081559346,-20.22378234281903
91.0,False,5973.001517723286,-20.228287332588703
92.0,False,5973.7534169188675,-20.232825125846027
93.0,False,5974.510776497569,-20.23739570446078
94.0,False,5975.273592972569,-20.241999045243013
95.0,False,5976.041863648251,-20.246635129758936
96.0,False,5976.81558554084,-20.251303937829192
97.0,False,5977.594755646591,-20.25600544914449
98.0,False,5978.37937094179,-20.26073964326573
99.0,False,5979.169428382828,-20.265506499624586
100.0,False,5979.964924906231,-20.270305997523874
101.0,False,5980.765857758988,-20.27513811812688
102.0,False,5981.572223184348,-20.280002836542895
103.0,False,5982.384018382875,-20.284900133637784
104.0,False,5983.201240212064,-20.28982998820247
105.0,False,5984.023885509749,-20.294792378900816
106.0,False,5984.851951094168,-20.299787284270085
107.0,False,5985.685433763975,-20.304814682721315
108.0,False,5986.524330676818,-20.309874554818855
109.0,False,5987.368637842236,-20.31496687420557
110.0,False,5988.218352372071,-20.320091621153868
111.0,False,5989.073470987171,-20.32524877357387
112.0,False,5989.933990389029,-20.330438309251424
113.0,False,5990.799907259838,-20.33566020584845
114.0,False,5991.671218262535,-20.34091444090351
115.0,False,5992.547920467431,-20.346200994400338
116.0,False,5993.4300096527795,-20.351519838536547
117.0,False,5994.317482843746,-20.356870953009786
118.0,False,5995.210336626697,-20.362254314868846
119.0,False,5996.108567568979,-20.367669901041154
120.0,False,5997.01217221894,-20.373117688333128
121.0,False,5997.921147106008,-20.3785976534306
122.0,False,5998.835488740723,-20.384109772899283
123.0,False,5999.755194096115,-20.389654026082315
124.0,False,6000.680258689214,-20.39523038355287
125.0,False,6001.610679448686,-20.400838824374784
126.0,False,6002.546452809969,-20.406479324637306
127.0,False,6003.487575189863,-20.412151860311603
128.0,False,6004.434042986556,-20.417856407251143
129.0,False,6005.385852579668,-20.42359294119228
130.0,False,6006.343000859441,-20.42936144093866
131.0,False,6007.305483117117,-20.43516187566603
132.0,False,6008.273296199229,-20.44099422390489
133.0,False,6009.246436411665,-20.446858460926983
134.0,False,6010.224900041994,-20.452754561888977
135.0,False,6011.208683359506,-20.45868250183297
136.0,False,6012.197782615285,-20.46464225568686
137.0,False,6013.1921940422435,-20.47063379826478
138.0,False,6014.191914438681,-20.476657107778195
139.0,False,6015.196938841097,-20.48271215183445
140.0,False,6016.207264004919,-20.488798908379042
141.0,False,6017.222886090881,-20.494917351775417
142.0,False,6018.243801241802,-20.50106745627569
143.0,False,6019.270005582636,-20.507249196020624
144.0,False,6020.301495220519,-20.513462545040596
145.0,False,6021.338266875717,-20.519707481050673
146.0,False,6022.380315364833,-20.5259839703115
147.0,False,6023.427637365991,-20.532291990278623
148.0,False,6024.480228915566,-20.53863151454412
149.0,False,6025.538086032367,-20.545002516591737
150.0,False,6026.601204717703,-20.55140496979729
151.0,False,6027.669580955399,-20.557838847429007
152.0,False,6028.743210711898,-20.564304122648156
153.0,False,6029.822090621154,-20.570800772628168
154.0,False,6030.906215251915,-20.577328762120416
155.0,False,6031.995581196849,-20.583888068046157
156.0,False,6033.0901843532865,-20.590478663143042
157.0,False,6034.190020601405,-20.59710052004401
158.0,False,6035.295085804287,-20.603753611277696
159.0,False,6036.405375807989,-20.610437909268892
160.0,False,6037.52088717346,-20.61715339073962
161.0,False,6038.641614255745,-20.62390001914754
162.0,False,6039.7675535752805,-20.630677770969147
163.0,False,6040.898700910477,-20.637486618218556
164.0,False,6042.03505202298,-20.6443265328085
165.0,False,6043.176602657726,-20.651197486550622
166.0,False,6044.323348542977,-20.658099451156072
167.0,False,6045.475286169082,-20.66503240291675
168.0,False,6046.632409680384,-20.671996304022127
169.0,False,6047.794715527511,-20.678991130525414
170.0,False,6048.962199372601,-20.686016853740206
171.0,False,6050.134856861396,-20.69307344488184
172.0,False,6051.312683623302,-20.70016087506804
173.0,False,6052.495675271433,-20.707279115319153
174.0,False,6053.6838274026795,-20.71442813655882
175.0,False,6054.877136429744,-20.721607914614324
176.0,False,6056.075596259888,-20.728818410257006
177.0,False,6057.279203266979,-20.73605959908321
178.0,False,6058.487952983542,-20.743331451634223
179.0,False,6059.701840926133,-20.750633938356902
180.0,False,6060.920862595421,-20.75796702960428
181.0,False,6062.145013476228,-20.76533069563592
182.0,False,6063.374289915959,-20.772724911895903
183.0,False,6064.608685617796,-20.78014963794296
184.0,False,6065.848196891122,-20.787604848997123
185.0,False,6067.092819157936,-20.79509051494903
186.0,False,6068.342547824693,-20.802606605598314
187.0,False,6069.597378282333,-20.810153090654126
188.0,False,6070.857305906353,-20.817729939735393
189.0,False,6072.122326056838,-20.82533712237166
190.0,False,6073.392435009662,-20.832974613596125
191.0,False,6074.667626238658,-20.84064237161416
192.0,False,6075.947895982609,-20.84834037124287
193.0,False,6077.2332395406065,-20.856068581658377
194.0,False,6078.523652196636,-20.863826971949536
195.0,False,6079.819129219609,-20.871615511118545
196.0,False,6081.119665863461,-20.879434168081502
197.0,False,6082.425258344208,-20.887282917535995
198.0,False,6083.735899938453,-20.895161716531796
199.0,False,6085.051586825961,-20.9030705395575
200.0,False,6086.372314201256,-20.911009355189442
201.0,False,6087.698077244139,-20.91897813192006
202.0,False,6089.0288711197745,-20.926976838158673
203.0,False,6090.364690978737,-20.935005442231844
204.0,False,6091.705532979745,-20.943063918523894
205.0,False,6093.0513902054645,-20.951152222956026
206.0,False,6094.402258779218,-20.959270329710694
207.0,False,6095.758133793767,-20.967418206788267
208.0,False,6097.11901032759,-20.975595822108925
209.0,False,6098.484883444903,-20.98380314351302
210.0,False,6099.855748195746,-20.99204013876154
211.0,False,6101.231599616011,-21.000306775536625
212.0,False,6102.612433802157,-21.00860302789213
213.0,False,6103.99824361924,-21.016928850492654
214.0,False,6105.389025129268,-21.02528421719825
215.0,False,6106.784773312211,-21.033669095380642
216.0,False,6108.185483134208,-21.0420834523353
217.0,False,6109.591149547606,-21.050527255281686
218.0,False,6111.001767491042,-21.05900047136393
219.0,False,6112.417333009272,-21.06750307437072
220.0,False,6113.8378387805415,-21.07603501789647
221.0,False,6115.263280816016,-21.084596275543007
222.0,False,6116.693654000051,-21.093186814158006
223.0,False,6118.1289532035535,-21.101806600515886
224.0,False,6119.5691732840705,-21.110455601318787
225.0,False,6121.014309085852,-21.11913378319695
226.0,False,6122.464355439884,-21.127841112709056
227.0,False,6123.9193083350465,-21.13657756336806
228.0,False,6125.379160240257,-21.14534308757897
229.0,False,6126.84390711179,-21.1541376586761
230.0,False,6128.313543728238,-21.16296124293728
231.0,False,6129.788064855238,-21.17181380657134
232.0,False,6131.267465245523,-21.180695315718555
233.0,False,6132.751739639006,-21.18960573645121
234.0,False,6134.240883978515,-21.198545042065103
235.0,False,6135.73489055342,-21.207513183953594
236.0,False,6137.233755274823,-21.216510135241098
237.0,False,6138.73747283188,-21.225535861732673
238.0,False,6140.246037901227,-21.23459032916784
239.0,False,6141.759445146991,-21.24367350322106
240.0,False,6143.277689220905,-21.25278534950208
241.0,False,6144.800764762341,-21.261925833556734
242.0,False,6146.328667664703,-21.27109492845975
243.0,False,6147.861390016438,-21.280292584482336
244.0,False,6149.398927680216,-21.289518774535903
245.0,False,6150.941275246559,-21.29877346391463
246.0,False,6152.4884272939335,-21.308056617851037
247.0,False,6154.0403783888,-21.317368201516558
248.0,False,6155.597123085665,-21.326708180021704
249.0,False,6157.158657237562,-21.33607652627169
250.0,False,6158.724972760788,-21.3454731895851
251.0,False,6160.296065478489,-21.35489814271071
252.0,False,6161.87192989802,-21.36435135052132
253.0,False,6163.452560515077,-21.373832777831307
254.0,False,6165.037951813767,-21.383342389397438
255.0,False,6166.628098266672,-21.392880149918923
256.0,False,6168.222995689075,-21.402446032153456
257.0,False,6169.822635828597,-21.41203998449415
258.0,False,6171.42701447153,-21.42166197954926
259.0,False,6173.036126044955,-21.431311981793844
260.0,False,6174.649964964727,-21.440989955647954
261.0,False,6176.268525635517,-21.450695865477172
262.0,False,6177.891802450907,-21.46042967559324
263.0,False,6179.5197897934295,-21.47019135025453
264.0,False,6181.152483438444,-21.47998086207644
265.0,False,6182.789874945079,-21.489798158428037
266.0,False,6184.431960060729,-21.49964321178363
267.0,False,6186.078733124296,-21.509515986192326
268.0,False,6187.730188463971,-21.519416445652354
269.0,False,6189.386320397246,-21.52934455411131
270.0,False,6191.047123230953,-21.539300275466534
271.0,False,6192.712592708354,-21.549283582232388
