Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km],Elevation[deg]
0.0,False,13184.50881956217,-77.84036445820473
1.0,False,13184.729409067675,-77.84534134312409
2.0,False,13184.946553772466,-77.85024272807739
3.0,False,13185.16025361792,-77.85506852213571
4.0,False,13185.370508191889,-77.8598186276482
5.0,False,13185.577318149077,-77.8644929722263
6.0,False,13185.780683077479,-77.86909146072524
7.0,False,13185.980602922753,-77.87361400731113
8.0,False,13186.177077631615,-77.8780605274435
9.0,False,13186.37010715186,-77.88243093788331
10.0,False,13186.55969143234,-77.88672515670042
11.0,False,13186.745830422986,-77.89094310328109
12.0,False,13186.928523736087,-77.89508469068785
13.0,False,13187.107772003093,-77.89914985629892
14.0,False,13187.283574836443,-77.90313851580422
15.0,False,13187.455932190334,-77.90705059392843
16.0,False,13187.624844020038,-77.91088601674903
17.0,False,13187.790310281884,-77.91464471170248
18.0,False,13187.952330933269,-77.91832660759137
19.0,False,13188.110905607902,-77.92193162724189
20.0,False,13188.266034916845,-77.92545971694962
21.0,False,13188.417718493942,-77.92891080226279
22.0,False,13188.56595630087,-77.9322848175137
23.0,False,13188.710748300373,-77.93558169843257
24.0,False,13188.85209445626,-77.93880138215388
25.0,False,13188.989994733403,-77.94194380722212
26.0,False,13189.124448786919,-77.94500890655112
27.0,False,13189.25545720748,-77.94799663566054
28.0,False,13189.383019650355,-77.95090693026948
29.0,False,13189.507136084681,-77.95373973462026
30.0,False,13189.627806480683,-77.95649499439308
31.0,False,13189.745030809645,-77.9591726567113
32.0,False,13189.858809043924,-77.96177267014673
33.0,False,13189.969141156947,-77.96429498472415
34.0,False,13190.076026828285,-77.96673954522872
35.0,False,13190.179466625324,-77.96910631804535
36.0,False,13190.27946022778,-77.9713952508451
37.0,False,13190.376007613357,-77.97360629951211
38.0,False,13190.469108760817,-77.97573942140663
39.0,False,13190.558763649991,-77.97779457536859
40.0,False,13190.644972261782,-77.97977172172192
41.0,False,13190.72773429719,-77.9816708158895
42.0,False,13190.807050303185,-77.98349183399668
43.0,False,13190.88291998091,-77.98523473440852
44.0,False,13190.95534331554,-77.98689948342171
45.0,False,13191.024320293318,-77.98848604883477
46.0,False,13191.089850901557,-77.98999439995107
47.0,False,13191.151935128635,-77.99142450758174
48.0,False,13191.210572964,-77.99277634404889
49.0,False,13191.265764133139,-77.99404987715545
